"oleh_oleh_id","name","baseline_status","accepted_at","manual_category","manual_category_label","manual_subtype","food_related","travel_durability","data_confidence_label","sentiment_readiness","text_reviews","avg_text_review_stars","product_mention_ratio","aspect_useful_ratio","tourism_context_mentions","rating","source_reviews_count","google_category","latitude","longitude","url","website","phone","place_id","cid","manual_acceptance_note"
"OOBASE-20260609-0011","Karma Oleh Oleh Bandung","accepted","2026-06-09","souvenir_non_makanan","Suvenir Non-Makanan","kaos_souvenir","false","high","medium","medium","17","4.41","0.647","0.824","0","4.9","1250","Toko Kaos","-6.8438458","107.598999","https://www.google.com/maps/search/?api=1&query=Karma%20Oleh%20Oleh%20Bandung&query_place_id=ChIJswQB6YvhaC4RjMafls9C5i4","","+62 811-2226-0333","ChIJswQB6YvhaC4RjMafls9C5i4","3379462029740852876","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user. Diterima sebagai souvenir/non-makanan."
"OOBASE-20260609-0012","Kartika Sari Lembang","accepted","2026-06-09","kue_bolu_pastry","Kue, Bolu, Pastry","pastry_kue","true","medium","medium","medium","19","4.37","0.474","0.789","1","4.6","164","Toko Kue","-6.8111633","107.634899","https://www.google.com/maps/search/?api=1&query=Kartika%20Sari%20Lembang&query_place_id=ChIJPwicKQDhaC4RwUyA9xRPnYc","https://www.kartikasari.com/","+62 22 63209028","ChIJPwicKQDhaC4RwUyA9xRPnYc","9772053717934165185","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user."
"OOBASE-20260609-0013","Keripik Tempe Tembul","accepted","2026-06-09","snack_keripik","Snack, Camilan, Kue Kering","keripik_tempe","true","high","medium","medium","29","4.66","0.414","0.931","0","4.4","83","Toko Makanan","-6.8116821","107.6164561","https://www.google.com/maps/search/?api=1&query=Keripik%20Tempe%20Tembul&query_place_id=ChIJfQAemwPhaC4R3GLivxb57Bc","","+62 817-0772-639","ChIJfQAemwPhaC4R3GLivxb57Bc","1724026633479938780","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user."
"OOBASE-20260609-0014","Kue Balok Jaya Giri","accepted","2026-06-09","kue_bolu_pastry","Kue, Bolu, Pastry","kue_balok","true","medium","medium","medium","15","4.6","0.6","0.867","0","4.5","146","Toko Roti","-6.813793","107.6215858","https://www.google.com/maps/search/?api=1&query=Kue%20Balok%20Jaya%20Giri&query_place_id=ChIJ7X8gnwPhaC4RiMjk-9jNTSg","","+62 838-2272-4001","ChIJ7X8gnwPhaC4RiMjk-9jNTSg","2904203666546542728","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user."
"OOBASE-20260609-0015","Pabrik Bolu Susu Lembang","accepted","2026-06-09","kue_bolu_pastry","Kue, Bolu, Pastry","bolu_susu","true","medium","medium","medium","17","4.12","0.588","0.882","2","4.2","73","Toko Roti","-6.8168098","107.6127002","https://www.google.com/maps/search/?api=1&query=Pabrik%20Bolu%20Susu%20Lembang&query_place_id=ChIJTW33ibbhaC4RsyNh0h7nzTE","","+62 813-1869-7117","ChIJTW33ibbhaC4RsyNh0h7nzTE","3588778597648769971","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user."
"OOBASE-20260609-0016","Pabrik Tahu PD Uties","accepted","2026-06-09","tahu_tempe","Olahan Tahu dan Tempe","pabrik_tahu","true","low","medium","medium","13","4.85","0.692","0.692","0","4.8","31","Produsen makanan","-6.8224026","107.6202864","https://www.google.com/maps/search/?api=1&query=Pabrik%20Tahu%20PD%20Uties&query_place_id=ChIJCb0kyx_haC4Rf97ZaVFQ3Gk","","+62 821-2115-2619","ChIJCb0kyx_haC4Rf97ZaVFQ3Gk","7628060179457236607","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user."
"OOBASE-20260609-0017","Pabrik Tahu Sibungsu","accepted","2026-06-09","tahu_tempe","Olahan Tahu dan Tempe","pabrik_tahu","true","low","low","weak","11","3.91","0.545","0.727","0","4.4","27","Pasokan Pabrik Makanan","-6.8027231","107.6565152","https://www.google.com/maps/search/?api=1&query=Pabrik%20Tahu%20Sibungsu&query_place_id=ChIJKenfeGPgaC4Ra7R3pKaHocQ","","+62 813-2076-4548","ChIJKenfeGPgaC4Ra7R3pKaHocQ","14168755052477920363","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user. Status weak tetap disimpan dengan confidence rendah."
"OOBASE-20260609-0018","PD.Bagus Tahu Dan Tempe Special","accepted","2026-06-09","tahu_tempe","Olahan Tahu dan Tempe","tahu_tempe","true","low","medium","medium","14","4.71","0.571","0.714","0","4.6","21","Kantor Perusahaan","-6.8013682","107.6561053","https://www.google.com/maps/search/?api=1&query=PD.Bagus%20Tahu%20Dan%20Tempe%20Special&query_place_id=ChIJffKBxmLgaC4R6q6TSHmW24w","","+62 858-6007-2838","ChIJffKBxmLgaC4R6q6TSHmW24w","10149871632862392042","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user."
"OOBASE-20260609-0019","Serba Susu Lembang","accepted","2026-06-09","olahan_susu","Olahan Susu Segar","produk_susu","true","low","high","strong","22","4.36","0.591","0.818","1","4.5","431","Toko Olahan Susu","-6.8174969","107.6252469","https://www.google.com/maps/search/?api=1&query=Serba%20Susu%20Lembang&query_place_id=ChIJp4xDpuPgaC4RoSxpAbN-vF0","","+62 22 2787333","ChIJp4xDpuPgaC4RoSxpAbN-vF0","6754412848436817057","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user."
"OOBASE-20260609-0020","Siliwangi Bolu Kukus Lembang, Bandung","accepted","2026-06-09","kue_bolu_pastry","Kue, Bolu, Pastry","bolu_kukus","true","medium","medium","medium","18","4.83","0.444","0.889","1","4.8","26","Toko Roti","-6.8316781","107.6056819","https://www.google.com/maps/search/?api=1&query=Siliwangi%20Bolu%20Kukus%20Lembang%2C%20Bandung&query_place_id=ChIJE6oUkijhaC4RtPPSSK9EJ5Y","","","ChIJE6oUkijhaC4RtPPSSK9EJ5Y","10819692149412656052","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user."
"OOBASE-20260609-0021","Susu Murni KPSBU Lembang","accepted","2026-06-09","olahan_susu","Olahan Susu Segar","fresh_milk","true","low","medium","medium","12","4.92","0.75","1","0","4.6","3492","Toko Olahan Susu","-6.8172544","107.6247378","https://www.google.com/maps/search/?api=1&query=Susu%20Murni%20KPSBU%20Lembang&query_place_id=ChIJpWGYruPgaC4R48Cli7L63XA","","","ChIJpWGYruPgaC4R48Cli7L63XA","8132932146855002339","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user."
"OOBASE-20260609-0022","Toko Kasohor Almond Crispy Cheese Bandung","accepted","2026-06-09","kue_bolu_pastry","Kue, Bolu, Pastry","almond_crispy","true","high","medium","medium","15","4.73","0.267","0.8","1","4.6","109","Toko Roti","-6.8162195","107.619467","https://www.google.com/maps/search/?api=1&query=Toko%20Kasohor%20Almond%20Crispy%20Cheese%20Bandung&query_place_id=ChIJNTQTVMjnaC4RRRXvCGQt9MA","https://www.instagram.com/kasohor_","","ChIJNTQTVMjnaC4RRRXvCGQt9MA","13903787857269429573","Accepted baseline oleh-oleh 2026-06-09 berdasarkan keputusan manual user."
