"oleh_oleh_id","name","baseline_status","manual_category","manual_category_label","manual_subtype","food_related","travel_durability","data_confidence_label","sentiment_readiness","rating","source_reviews_count","text_reviews","rating_score","review_confidence_score","product_aspect_score","taste_score","price_signal_score","service_score","packaging_score","queue_signal_score","parking_signal_score","tourism_context_score","scoring_weight_profile","oleh_oleh_recommendation_score","recommendation_score_label","latitude","longitude","url","website","phone","place_id","cid","scoring_note"
"OOBASE-20260609-0018","PD.Bagus Tahu Dan Tempe Special","accepted","tahu_tempe","Olahan Tahu dan Tempe","tahu_tempe","true","low","medium","medium","4.6","21","14","92","62.65","57.14","57.14","14.29","14.29","21.43","0","0","0","rating=0.36;confidence=0.26;product=0.16;taste=0.1;price=0.03;service=0.06;packaging=0.03","66.19","usable_with_caution","-6.8013682","107.6561053","https://www.google.com/maps/search/?api=1&query=PD.Bagus%20Tahu%20Dan%20Tempe%20Special&query_place_id=ChIJffKBxmLgaC4R6q6TSHmW24w","","+62 858-6007-2838","ChIJffKBxmLgaC4R6q6TSHmW24w","10149871632862392042","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0021","Susu Murni KPSBU Lembang","accepted","olahan_susu","Olahan Susu Segar","fresh_milk","true","low","medium","medium","4.6","3492","12","92","57.45","75","33.33","25","16.67","25","8.33","16.67","0","rating=0.36;confidence=0.26;product=0.16;taste=0.1;price=0.03;service=0.06;packaging=0.03","65.89","usable_with_caution","-6.8172544","107.6247378","https://www.google.com/maps/search/?api=1&query=Susu%20Murni%20KPSBU%20Lembang&query_place_id=ChIJpWGYruPgaC4R48Cli7L63XA","","","ChIJpWGYruPgaC4R48Cli7L63XA","8132932146855002339","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0014","Kue Balok Jaya Giri","accepted","kue_bolu_pastry","Kue, Bolu, Pastry","kue_balok","true","medium","medium","medium","4.5","146","15","90","65.25","60","60","6.67","6.67","6.67","6.67","6.67","0","rating=0.35;confidence=0.25;product=0.15;taste=0.1;price=0.05;service=0.06;packaging=0.04","63.81","usable_with_caution","-6.813793","107.6215858","https://www.google.com/maps/search/?api=1&query=Kue%20Balok%20Jaya%20Giri&query_place_id=ChIJ7X8gnwPhaC4RiMjk-9jNTSg","","+62 838-2272-4001","ChIJ7X8gnwPhaC4RiMjk-9jNTSg","2904203666546542728","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0012","Kartika Sari Lembang","accepted","kue_bolu_pastry","Kue, Bolu, Pastry","pastry_kue","true","medium","medium","medium","4.6","164","19","92","75.65","47.37","21.05","5.26","10.53","42.11","10.53","15.79","5.26","rating=0.35;confidence=0.25;product=0.15;taste=0.1;price=0.05;service=0.06;packaging=0.04","62.9","usable_with_caution","-6.8111633","107.634899","https://www.google.com/maps/search/?api=1&query=Kartika%20Sari%20Lembang&query_place_id=ChIJPwicKQDhaC4RwUyA9xRPnYc","https://www.kartikasari.com/","+62 22 63209028","ChIJPwicKQDhaC4RwUyA9xRPnYc","9772053717934165185","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0001","*UMMI* Snack Lembang","accepted","snack_keripik","Snack, Camilan, Kue Kering","snack_kering","true","medium","low","weak","5","23","11","100","46.1","63.64","54.55","27.27","0","18.18","0","0","0","rating=0.32;confidence=0.24;product=0.17;taste=0.1;price=0.07;service=0.04;packaging=0.06","62.34","usable_with_caution","-6.8093261","107.6129176","https://www.google.com/maps/search/?api=1&query=*UMMI*%20Snack%20Lembang&query_place_id=ChIJJVnL5XHhaC4Ra-dPJyXNlaE","https://www.instagram.com/cmulyani/","","ChIJJVnL5XHhaC4Ra-dPJyXNlaE","11643437971093317483","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0005","Bolu susu Lembang Cikole","accepted","kue_bolu_pastry","Kue, Bolu, Pastry","bolu_susu","true","medium","medium","medium","4.8","21","13","96","60.05","30.77","46.15","38.46","30.77","15.38","0","0","0","rating=0.35;confidence=0.25;product=0.15;taste=0.1;price=0.05;service=0.06;packaging=0.04","62.23","usable_with_caution","-6.7920857","107.6543278","https://www.google.com/maps/search/?api=1&query=Bolu%20susu%20Lembang%20Cikole&query_place_id=ChIJO6lUdP7haC4RHeO43rEfTU0","","+62 813-4489-4535","ChIJO6lUdP7haC4RHeO43rEfTU0","5570143162933502749","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0008","Central Snack","accepted","snack_keripik","Snack, Camilan, Kue Kering","snack_kering","true","high","medium","medium","4.5","58","17","90","70.45","35.29","35.29","64.71","41.18","5.88","5.88","5.88","11.76","rating=0.32;confidence=0.24;product=0.17;taste=0.1;price=0.07;service=0.04;packaging=0.06","61.77","usable_with_caution","-6.8162715","107.6194314","https://www.google.com/maps/search/?api=1&query=Central%20Snack&query_place_id=ChIJFX2RQR3haC4RZ8Po3YWrz3c","","+62 851-7313-1899","ChIJFX2RQR3haC4RZ8Po3YWrz3c","8633307602134549351","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0006","Brownies Susu Lembang - Ini Asli Lembang","accepted","kue_bolu_pastry","Kue, Bolu, Pastry","brownies_susu","true","medium","low","weak","4.3","21","11","86","46.1","63.64","54.55","45.45","18.18","36.36","0","36.36","9.09","rating=0.35;confidence=0.25;product=0.15;taste=0.1;price=0.05;service=0.06;packaging=0.04","61.44","usable_with_caution","-6.8333373","107.6045637","https://www.google.com/maps/search/?api=1&query=Brownies%20Susu%20Lembang%20-%20Ini%20Asli%20Lembang&query_place_id=ChIJ761kKE3haC4RzwhpLklp6Ss","","+62 811-2182-500","ChIJ761kKE3haC4RzwhpLklp6Ss","3164175976236648655","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0022","Toko Kasohor Almond Crispy Cheese Bandung","accepted","kue_bolu_pastry","Kue, Bolu, Pastry","almond_crispy","true","high","medium","medium","4.6","109","15","92","65.25","26.67","46.67","53.33","6.67","20","6.67","0","6.67","rating=0.35;confidence=0.25;product=0.15;taste=0.1;price=0.05;service=0.06;packaging=0.04","61.05","usable_with_caution","-6.8162195","107.619467","https://www.google.com/maps/search/?api=1&query=Toko%20Kasohor%20Almond%20Crispy%20Cheese%20Bandung&query_place_id=ChIJNTQTVMjnaC4RRRXvCGQt9MA","https://www.instagram.com/kasohor_","","ChIJNTQTVMjnaC4RRRXvCGQt9MA","13903787857269429573","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0010","Kangsule Kampoeng Susu Lembang","accepted","snack_keripik","Snack, Camilan, Kue Kering","toko_oleh_oleh_komplit","true","medium","medium","medium","4.2","48","18","84","73.05","44.44","22.22","16.67","27.78","27.78","5.56","11.11","5.56","rating=0.32;confidence=0.24;product=0.17;taste=0.1;price=0.07;service=0.04;packaging=0.06","58.13","low_confidence","-6.8349336","107.6018056","https://www.google.com/maps/search/?api=1&query=Kangsule%20Kampoeng%20Susu%20Lembang&query_place_id=ChIJn8-LjJ3haC4RZZp464sDaqE","","+62 813-2260-9090","ChIJn8-LjJ3haC4RZZp464sDaqE","11631112887123614309","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0017","Pabrik Tahu Sibungsu","accepted","tahu_tempe","Olahan Tahu dan Tempe","pabrik_tahu","true","low","low","weak","4.4","27","11","88","46.1","54.55","45.45","9.09","9.09","0","0","0","0","rating=0.36;confidence=0.26;product=0.16;taste=0.1;price=0.03;service=0.06;packaging=0.03","57.76","low_confidence","-6.8027231","107.6565152","https://www.google.com/maps/search/?api=1&query=Pabrik%20Tahu%20Sibungsu&query_place_id=ChIJKenfeGPgaC4Ra7R3pKaHocQ","","+62 813-2076-4548","ChIJKenfeGPgaC4Ra7R3pKaHocQ","14168755052477920363","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
"OOBASE-20260609-0007","Bubunasnack","accepted","snack_keripik","Snack, Camilan, Kue Kering","snack_grosir","true","high","medium","medium","3.9","44","16","78","67.85","31.25","31.25","68.75","62.5","12.5","6.25","18.75","0","rating=0.32;confidence=0.24;product=0.17;taste=0.1;price=0.07;service=0.04;packaging=0.06","57.74","low_confidence","-6.8128364","107.6003717","https://www.google.com/maps/search/?api=1&query=Bubunasnack&query_place_id=ChIJ5yvOWL7haC4ReScIJzK9vuM","https://www.instagram.com/bubunasnack","+62 896-2306-7513","ChIJ5yvOWL7haC4ReScIJzK9vuM","16410762115285526393","Baseline heuristic score v2 2026-06-09; rating/confidence are primary, aspects are supporting signals."
