trail_id,user_id,split,sequence_length,category_sequence,raw_category_sequence,venue_id_sequence,target_next_category,history_categories
2013_1002528,41880,train,3,belanja > kuliner > belanja,Shopping Mall > Vegetarian / Vegan Restaurant > Shopping Mall,4910 > 19196 > 3202,belanja,belanja > kuliner
2013_1002529,41880,train,2,belanja > kuliner,Shopping Mall > Food Court,3202 > 898,kuliner,belanja
2013_1002973,41899,train,3,belanja > penginapan > kuliner,Clothing Store > Hotel > Seafood Restaurant,6042 > 10963 > 16876,kuliner,belanja > penginapan
2013_1002974,41899,train,3,kuliner > kuliner > belanja,Pizza Place > Sushi Restaurant > Clothing Store,11289 > 18357 > 939,belanja,kuliner > kuliner
2013_1003837,41940,train,9,kuliner > belanja > belanja > hiburan > belanja > belanja > kuliner > kuliner > penginapan,Ramen Restaurant > Shopping Mall > Boutique > Bar > Boutique > Clothing Store > Bakery > Indonesian Restaurant > Hotel,727 > 6 > 519 > 8598 > 16403 > 518 > 112 > 652 > 15852,penginapan,kuliner > belanja > belanja > hiburan > belanja > belanja > kuliner > kuliner
2013_1003853,41940,train,3,kuliner > penginapan > kuliner,Indonesian Restaurant > Resort > Indonesian Restaurant,11133 > 21884 > 767,kuliner,kuliner > penginapan
2013_1003880,41940,train,3,belanja > kuliner > kuliner,Clothing Store > Food Court > Italian Restaurant,939 > 59 > 42,kuliner,belanja > kuliner
2013_1003881,41940,test,2,belanja > belanja,Clothing Store > Clothing Store,23341 > 12537,belanja,belanja
2013_1004228,41961,test,2,kuliner > kuliner,Food > Bakery,10615 > 7916,kuliner,kuliner
2013_1004234,41961,test,2,belanja > kuliner,Shopping Mall > Pizza Place,4910 > 16871,kuliner,belanja
2013_1004242,41961,train,2,belanja > belanja,Clothing Store > Shopping Mall,12439 > 7002,belanja,belanja
2013_1004773,41990,train,3,kuliner > belanja > kuliner,Restaurant > Clothing Store > Café,2631 > 6042 > 2017,kuliner,kuliner > belanja
2013_1004793,41990,train,5,religi > belanja > kuliner > kuliner > kuliner,Mosque > Shopping Mall > Indonesian Restaurant > Café > Bakery,21040 > 6 > 734 > 4739 > 392,kuliner,religi > belanja > kuliner > kuliner
2013_1005971,42055,train,2,belanja > kuliner,Department Store > Fast Food Restaurant,9842 > 837,kuliner,belanja
2013_1005978,42055,train,2,kuliner > belanja,Indonesian Restaurant > Shopping Mall,13263 > 1,belanja,kuliner
2013_1005988,42055,train,2,kuliner > kuliner,Donut Shop > Burger Joint,30 > 12581,kuliner,kuliner
2013_1005989,42055,train,2,belanja > kuliner,Department Store > Café,4615 > 14474,kuliner,belanja
2013_1007034,42115,train,2,alam_santai > belanja,Theme Park > Shopping Mall,5875 > 18546,belanja,alam_santai
2013_1007041,42115,test,2,kuliner > alam_santai,Food Court > Theme Park,1116 > 5875,alam_santai,kuliner
2013_1010902,42294,test,3,kuliner > belanja > hiburan,Food Court > Shopping Mall > Multiplex,2609 > 6 > 2120,hiburan,kuliner > belanja
2013_1010903,42294,train,3,religi > kuliner > belanja,Mosque > Steakhouse > Shopping Mall,12683 > 961 > 4910,belanja,religi > kuliner
2013_1010904,42294,train,2,belanja > kuliner,Shopping Mall > Food Court,6 > 11097,kuliner,belanja
2013_1010905,42294,train,2,kuliner > kuliner,German Restaurant > Pizza Place,231 > 6933,kuliner,kuliner
2013_1010906,42294,train,2,belanja > kuliner,Shopping Mall > Seafood Restaurant,3202 > 11095,kuliner,belanja
2013_1010907,42294,test,2,kuliner > belanja,Fast Food Restaurant > Department Store,3970 > 4159,belanja,kuliner
2013_1010909,42294,train,3,kuliner > belanja > belanja,Steakhouse > Clothing Store > Shopping Mall,961 > 157 > 11,belanja,kuliner > belanja
2013_1010910,42294,validation,2,belanja > kuliner,Shopping Mall > Steakhouse,6 > 11008,kuliner,belanja
2013_1010913,42294,train,2,kuliner > belanja,Restaurant > Shopping Mall,1135 > 4910,belanja,kuliner
2013_1010914,42294,train,2,belanja > kuliner,Shopping Mall > Coffee Shop,4910 > 1918,kuliner,belanja
2013_1010915,42294,train,3,penginapan > kuliner > belanja,Hotel > Diner > Shopping Mall,7644 > 13807 > 11,belanja,penginapan > kuliner
2013_1010918,42294,train,2,kuliner > religi,Steakhouse > Mosque,11008 > 21536,religi,kuliner
2013_1010920,42294,train,3,belanja > kuliner > kuliner,Shopping Mall > Burger Joint > Bakery,13 > 13431 > 760,kuliner,belanja > kuliner
2013_1010922,42294,validation,2,kuliner > belanja,Restaurant > Shopping Mall,1135 > 4910,belanja,kuliner
2013_1011785,42338,train,2,kuliner > alam_santai,Soup Place > Zoo,22982 > 380,alam_santai,kuliner
2013_1011786,42338,train,2,kuliner > kuliner,Food Court > Ice Cream Shop,13446 > 27083,kuliner,kuliner
2013_1011788,42338,train,2,religi > kuliner,Mosque > Indonesian Restaurant,448 > 27231,kuliner,religi
2013_1011790,42338,test,2,kuliner > kuliner,Indonesian Restaurant > Indonesian Restaurant,27043 > 22380,kuliner,kuliner
2013_1011794,42338,test,2,kuliner > kuliner,Ice Cream Shop > Indonesian Restaurant,27083 > 27458,kuliner,kuliner
2013_1011795,42338,train,2,kuliner > kuliner,BBQ Joint > Indonesian Restaurant,27566 > 22380,kuliner,kuliner
2013_1011796,42338,train,4,religi > kuliner > kuliner > kuliner,Mosque > Asian Restaurant > Ice Cream Shop > Restaurant,10927 > 27103 > 27083 > 4570,kuliner,religi > kuliner > kuliner
2013_1011797,42338,train,2,kuliner > belanja,BBQ Joint > Department Store,27566 > 27663,belanja,kuliner
2013_1011799,42338,train,3,kuliner > belanja > kuliner,Indonesian Restaurant > Bookstore > Indonesian Restaurant,443 > 83 > 22380,kuliner,kuliner > belanja
2013_1011807,42338,train,2,kuliner > belanja,Indonesian Restaurant > Department Store,27231 > 27663,belanja,kuliner
2013_1011808,42338,train,5,belanja > alam_santai > belanja > hiburan > kuliner,Shopping Mall > Other Great Outdoors > Shopping Mall > Multiplex > Indonesian Restaurant,11574 > 2699 > 3202 > 3097 > 19069,kuliner,belanja > alam_santai > belanja > hiburan
2013_1011812,42338,train,3,religi > kuliner > kuliner,Mosque > Food Truck > BBQ Joint,448 > 28011 > 27566,kuliner,religi > kuliner
2013_1011815,42338,train,2,belanja > kuliner,Department Store > Breakfast Spot,27663 > 27099,kuliner,belanja
2013_1011830,42338,test,3,budaya_edukasi > alam_santai > alam_santai,Historic Site > Other Great Outdoors > Sculpture Garden,5333 > 3741 > 4476,alam_santai,budaya_edukasi > alam_santai
2013_1014744,42467,test,2,kuliner > belanja,Coffee Shop > Shopping Mall,758 > 1,belanja,kuliner
2013_1014747,42467,train,2,kuliner > kuliner,Restaurant > Coffee Shop,164 > 758,kuliner,kuliner
2013_1014748,42467,train,2,belanja > kuliner,Shopping Mall > Café,7002 > 26553,kuliner,belanja
2013_1014751,42467,train,2,belanja > kuliner,Shopping Mall > Donut Shop,4910 > 1853,kuliner,belanja
2013_1014753,42467,train,2,belanja > kuliner,Shopping Mall > Burger Joint,23 > 133,kuliner,belanja
2013_1014756,42467,train,2,kuliner > kuliner,Bakery > Coffee Shop,27348 > 21638,kuliner,kuliner
2013_1017943,42605,test,2,belanja > belanja,Shopping Mall > Department Store,6 > 4159,belanja,belanja
2013_1017945,42605,train,2,belanja > kuliner,Bookstore > Café,83 > 20326,kuliner,belanja
2013_1017947,42605,train,2,kuliner > belanja,Café > Shopping Mall,574 > 3202,belanja,kuliner
2013_1017953,42605,test,2,belanja > hiburan,Shopping Mall > Multiplex,1 > 297,hiburan,belanja
2013_1017956,42605,train,2,belanja > kuliner,Shopping Mall > Burger Joint,3202 > 12581,kuliner,belanja
2013_1017958,42605,train,2,kuliner > kuliner,Fast Food Restaurant > Fried Chicken Joint,837 > 102,kuliner,kuliner
2013_1017963,42605,train,3,belanja > belanja > hiburan,Department Store > Shopping Mall > Multiplex,9842 > 6 > 2120,hiburan,belanja > belanja
2013_1017964,42605,train,2,belanja > kuliner,Shopping Mall > Pizza Place,258 > 339,kuliner,belanja
2013_1017966,42605,test,2,kuliner > belanja,Food Court > Shopping Mall,15264 > 3202,belanja,kuliner
2013_1023291,42815,train,2,belanja > hiburan,Shopping Mall > Multiplex,13 > 18,hiburan,belanja
2013_1023293,42815,train,2,kuliner > kuliner,Café > Japanese Restaurant,98 > 186,kuliner,kuliner
2013_1023307,42815,train,3,belanja > belanja > hiburan,Shopping Mall > Shopping Mall > Multiplex,3202 > 1 > 297,hiburan,belanja > belanja
2013_1023310,42815,validation,4,kuliner > kuliner > belanja > belanja,Café > Café > Shopping Mall > Clothing Store,16222 > 98 > 501 > 774,belanja,kuliner > kuliner > belanja
2013_1025045,42908,train,2,kuliner > kuliner,Seafood Restaurant > Seafood Restaurant,8901 > 10952,kuliner,kuliner
2013_1025047,42908,test,2,belanja > hiburan,Shopping Mall > Multiplex,6 > 2120,hiburan,belanja
2013_1025048,42908,validation,5,kuliner > religi > alam_santai > kuliner > kuliner,Café > Mosque > Scenic Lookout > Café > Cupcake Shop,4016 > 9812 > 11511 > 4016 > 5676,kuliner,kuliner > religi > alam_santai > kuliner
2013_1025049,42908,train,2,kuliner > kuliner,Burger Joint > Food Truck,12581 > 7192,kuliner,kuliner
2013_1025052,42908,train,2,kuliner > kuliner,Indonesian Restaurant > Restaurant,13594 > 3666,kuliner,kuliner
2013_1025054,42908,train,3,belanja > kuliner > hiburan,Shopping Mall > Asian Restaurant > Multiplex,1 > 6820 > 297,hiburan,belanja > kuliner
2013_1025055,42908,train,2,kuliner > budaya_edukasi,Café > Movie Theater,38 > 15932,budaya_edukasi,kuliner
2013_1025056,42908,train,2,belanja > kuliner,Shopping Mall > Asian Restaurant,13 > 921,kuliner,belanja
2013_1025057,42908,train,2,belanja > kuliner,Shopping Mall > Asian Restaurant,1 > 6820,kuliner,belanja
2013_1025058,42908,test,2,belanja > kuliner,Shopping Mall > Fast Food Restaurant,13 > 9387,kuliner,belanja
2013_1025059,42908,train,2,belanja > kuliner,Shopping Mall > Donut Shop,13 > 163,kuliner,belanja
2013_1025060,42908,train,2,kuliner > kuliner,Donut Shop > Bakery,76 > 1187,kuliner,kuliner
2013_1025674,42937,train,2,hiburan > kuliner,Multiplex > Fried Chicken Joint,297 > 2,kuliner,hiburan
2013_1025806,42947,train,2,belanja > kuliner,Shopping Mall > Indonesian Restaurant,23 > 734,kuliner,belanja
2013_1025807,42947,test,2,belanja > kuliner,Shopping Mall > Pizza Place,3 > 536,kuliner,belanja
2013_1025986,42957,train,2,kuliner > kuliner,Food Court > Donut Shop,1116 > 30,kuliner,kuliner
2013_1025987,42957,train,2,kuliner > kuliner,Burger Joint > Food Court,353 > 1116,kuliner,kuliner
2013_1025989,42957,train,2,kuliner > hiburan,Japanese Restaurant > Multiplex,319 > 297,hiburan,kuliner
2013_1025990,42957,train,3,hiburan > belanja > kuliner,Arcade > Shopping Mall > Donut Shop,6382 > 1 > 76,kuliner,hiburan > belanja
2013_1025992,42957,train,2,kuliner > kuliner,Food Truck > Café,153 > 38,kuliner,kuliner
2013_1025993,42957,test,2,kuliner > alam_santai,Ramen Restaurant > Scenic Lookout,9273 > 1224,alam_santai,kuliner
2013_1026376,42973,train,3,belanja > kuliner > kuliner,Shopping Mall > Indonesian Restaurant > Dessert Shop,1 > 2194 > 7335,kuliner,belanja > kuliner
2013_1026377,42973,train,3,religi > belanja > kuliner,Church > Shopping Mall > Seafood Restaurant,16776 > 1646 > 8592,kuliner,religi > belanja
2013_1026378,42973,train,2,kuliner > kuliner,Food Court > Sushi Restaurant,10426 > 15281,kuliner,kuliner
2013_1026380,42973,train,3,kuliner > belanja > kuliner,Food Truck > Shopping Mall > Coffee Shop,3122 > 13 > 378,kuliner,kuliner > belanja
2013_1026381,42973,train,2,belanja > kuliner,Shopping Mall > Coffee Shop,13 > 378,kuliner,belanja
2013_1026384,42973,train,3,religi > belanja > kuliner,Church > Shopping Mall > Indonesian Restaurant,8142 > 4910 > 11196,kuliner,religi > belanja
2013_1026385,42973,train,2,kuliner > belanja,Restaurant > Shopping Mall,12834 > 13,belanja,kuliner
2013_1026387,42973,test,5,belanja > kuliner > kuliner > belanja > kuliner,Shopping Mall > Asian Restaurant > Coffee Shop > Shopping Mall > Coffee Shop,1 > 6820 > 758 > 13 > 378,kuliner,belanja > kuliner > kuliner > belanja
2013_1026388,42973,test,2,kuliner > kuliner,Ramen Restaurant > Asian Restaurant,13076 > 8576,kuliner,kuliner
2013_1026389,42973,train,2,kuliner > kuliner,Food Court > Sushi Restaurant,10426 > 15281,kuliner,kuliner
2013_1026390,42973,train,2,kuliner > kuliner,Food Court > Café,59 > 10243,kuliner,kuliner
2013_1026395,42973,train,2,kuliner > belanja,Seafood Restaurant > Shopping Mall,8592 > 11,belanja,kuliner
2013_1026396,42973,train,2,belanja > belanja,Shopping Mall > Shopping Mall,4910 > 13,belanja,belanja
2013_1026399,42973,test,3,kuliner > belanja > kuliner,Indonesian Restaurant > Shopping Mall > Coffee Shop,7693 > 13 > 378,kuliner,kuliner > belanja
2013_1026400,42973,train,3,kuliner > belanja > belanja,Asian Restaurant > Shopping Mall > Bookstore,14551 > 23 > 83,belanja,kuliner > belanja
2013_1026401,42973,test,4,kuliner > belanja > belanja > kuliner,Chinese Restaurant > Shopping Mall > Shopping Mall > Tea Room,8927 > 23 > 1 > 20658,kuliner,kuliner > belanja > belanja
2013_1026402,42973,train,2,kuliner > belanja,Asian Restaurant > Shopping Mall,1674 > 13,belanja,kuliner
2013_1026403,42973,train,2,religi > belanja,Church > Shopping Mall,8142 > 4910,belanja,religi
2013_1026404,42973,validation,2,belanja > kuliner,Shopping Mall > Thai Restaurant,4910 > 4053,kuliner,belanja
2013_1026452,42977,test,2,kuliner > hiburan,Sushi Restaurant > Multiplex,8699 > 297,hiburan,kuliner
2013_1026453,42977,train,2,kuliner > kuliner,Food Truck > Indonesian Restaurant,17528 > 514,kuliner,kuliner
2013_1026454,42977,validation,2,budaya_edukasi > kuliner,Art Gallery > Restaurant,57 > 887,kuliner,budaya_edukasi
2013_1026456,42977,train,2,kuliner > kuliner,Restaurant > Indonesian Restaurant,887 > 16024,kuliner,kuliner
2013_1026459,42977,train,2,kuliner > hiburan,Restaurant > Multiplex,11503 > 18,hiburan,kuliner
2013_1026460,42977,train,2,kuliner > kuliner,Restaurant > Café,3817 > 6513,kuliner,kuliner
2013_1026948,42998,train,2,belanja > kuliner,Shopping Mall > Asian Restaurant,1 > 14639,kuliner,belanja
2013_1026949,42998,validation,2,penginapan > kuliner,Hotel > Middle Eastern Restaurant,10963 > 3492,kuliner,penginapan
2013_1026953,42998,train,3,kuliner > belanja > hiburan,Fried Chicken Joint > Department Store > General Entertainment,1246 > 9842 > 19582,hiburan,kuliner > belanja
2013_1030273,43164,train,2,hiburan > kuliner,Multiplex > Seafood Restaurant,3097 > 11095,kuliner,hiburan
2013_1030274,43164,train,2,belanja > hiburan,Shopping Mall > Multiplex,13 > 18,hiburan,belanja
2013_1030275,43164,train,2,kuliner > kuliner,Japanese Restaurant > Coffee Shop,9966 > 13867,kuliner,kuliner
2013_1030276,43164,test,3,belanja > hiburan > kuliner,Shopping Mall > Multiplex > Japanese Restaurant,1 > 297 > 319,kuliner,belanja > hiburan
2013_1030277,43164,test,3,kuliner > kuliner > kuliner,Burger Joint > Japanese Restaurant > Fried Chicken Joint,353 > 9966 > 2,kuliner,kuliner > kuliner
2013_1030278,43164,train,2,kuliner > kuliner,Coffee Shop > Coffee Shop,13867 > 274,kuliner,kuliner
2013_1030279,43164,train,2,kuliner > kuliner,Coffee Shop > Ramen Restaurant,13867 > 10897,kuliner,kuliner
2013_1030281,43164,test,3,belanja > kuliner > kuliner,Shopping Mall > Fast Food Restaurant > Coffee Shop,13 > 9387 > 13867,kuliner,belanja > kuliner
2013_1030282,43164,test,2,kuliner > belanja,Coffee Shop > Shopping Mall,13867 > 3202,belanja,kuliner
2013_1030283,43164,train,3,kuliner > kuliner > kuliner,Coffee Shop > Italian Restaurant > Food Court,13867 > 42 > 770,kuliner,kuliner > kuliner
2013_1030284,43164,train,3,kuliner > kuliner > kuliner,Café > Coffee Shop > Ramen Restaurant,13297 > 13867 > 10897,kuliner,kuliner > kuliner
2013_1030285,43164,validation,3,kuliner > belanja > kuliner,Steakhouse > Arts & Crafts Store > Coffee Shop,6107 > 4781 > 13867,kuliner,kuliner > belanja
2013_1030286,43164,validation,2,belanja > kuliner,Arts & Crafts Store > Coffee Shop,4781 > 13867,kuliner,belanja
2013_1030287,43164,validation,2,kuliner > kuliner,Sushi Restaurant > Coffee Shop,19024 > 13867,kuliner,kuliner
2013_1030289,43164,train,2,kuliner > kuliner,Café > Coffee Shop,2339 > 13867,kuliner,kuliner
2013_1030290,43164,train,2,kuliner > kuliner,Sushi Restaurant > Coffee Shop,722 > 13867,kuliner,kuliner
2013_1030292,43164,train,3,belanja > hiburan > kuliner,Shopping Mall > Multiplex > Seafood Restaurant,1 > 297 > 10868,kuliner,belanja > hiburan
2013_1030294,43164,train,2,alam_santai > kuliner,Scenic Lookout > Indonesian Restaurant,1224 > 8278,kuliner,alam_santai
2013_1030296,43164,train,2,kuliner > belanja,Coffee Shop > Shopping Mall,13867 > 3202,belanja,kuliner
2013_1030299,43164,validation,3,kuliner > kuliner > hiburan,Coffee Shop > Ramen Restaurant > Multiplex,13867 > 17859 > 2598,hiburan,kuliner > kuliner
2013_1030300,43164,test,2,kuliner > kuliner,Food Truck > Sushi Restaurant,20661 > 23923,kuliner,kuliner
2013_1030303,43164,train,2,kuliner > kuliner,Fried Chicken Joint > Café,3141 > 22013,kuliner,kuliner
2013_1031379,43215,train,2,belanja > belanja,Shopping Mall > Shopping Mall,13 > 3202,belanja,belanja
2013_1033788,43332,train,4,kuliner > kuliner > kuliner > alam_santai,Asian Restaurant > Chinese Restaurant > Asian Restaurant > Water Park,275 > 4035 > 275 > 16392,alam_santai,kuliner > kuliner > kuliner
2013_1033793,43332,train,4,kuliner > religi > alam_santai > hiburan,Indonesian Restaurant > Mosque > Theme Park > General Entertainment,310 > 1402 > 16888 > 16844,hiburan,kuliner > religi > alam_santai
2013_1033805,43332,train,2,belanja > penginapan,Department Store > Hotel,150 > 7644,penginapan,belanja
2013_1033811,43334,train,3,kuliner > belanja > kuliner,Burger Joint > Shopping Mall > Chinese Restaurant,353 > 3202 > 9692,kuliner,kuliner > belanja
2013_1033812,43334,train,2,kuliner > kuliner,Burger Joint > Asian Restaurant,353 > 646,kuliner,kuliner
2013_1033813,43334,train,2,belanja > kuliner,Shopping Mall > American Restaurant,3202 > 5189,kuliner,belanja
2013_1033814,43334,test,3,religi > kuliner > kuliner,Church > Seafood Restaurant > Burger Joint,5590 > 871 > 353,kuliner,religi > kuliner
2013_1033816,43334,train,3,religi > kuliner > kuliner,Church > Restaurant > Burger Joint,4056 > 1204 > 353,kuliner,religi > kuliner
2013_1033817,43334,train,2,belanja > kuliner,Shopping Mall > Seafood Restaurant,3202 > 11095,kuliner,belanja
2013_1033818,43334,validation,2,religi > kuliner,Church > Fried Chicken Joint,4056 > 2,kuliner,religi
2013_1033819,43334,train,3,religi > belanja > kuliner,Church > Shopping Mall > Restaurant,18183 > 3202 > 1204,kuliner,religi > belanja
2013_1033820,43334,validation,4,belanja > belanja > kuliner > kuliner,Shopping Mall > Bookstore > Food Truck > Restaurant,3202 > 83 > 13019 > 1204,kuliner,belanja > belanja > kuliner
2013_1033822,43334,train,2,religi > belanja,Church > Boutique,4056 > 14031,belanja,religi
2013_1033823,43334,test,4,belanja > belanja > belanja > kuliner,Shopping Mall > Shopping Mall > Shopping Mall > Bakery,13 > 1 > 3202 > 112,kuliner,belanja > belanja > belanja
2013_1033824,43334,train,3,belanja > hiburan > kuliner,Shopping Mall > Multiplex > Burger Joint,1 > 297 > 353,kuliner,belanja > hiburan
2013_1034360,43358,test,2,religi > kuliner,Mosque > Diner,20959 > 23850,kuliner,religi
2013_1034365,43358,train,2,belanja > belanja,Shopping Mall > Shopping Mall,23 > 3202,belanja,belanja
2013_1034367,43358,validation,2,belanja > belanja,Shopping Mall > Shopping Mall,23 > 3202,belanja,belanja
2013_1036705,43472,train,2,belanja > kuliner,Shopping Mall > Pizza Place,4910 > 6210,kuliner,belanja
2013_1036706,43472,train,2,belanja > kuliner,Shopping Mall > Coffee Shop,6 > 763,kuliner,belanja
2013_1036707,43472,train,2,kuliner > penginapan,Japanese Restaurant > Hotel,9917 > 707,penginapan,kuliner
2013_1036715,43472,train,2,belanja > hiburan,Shopping Mall > Multiplex,6 > 2120,hiburan,belanja
2013_1036719,43472,train,2,belanja > kuliner,Shopping Mall > Italian Restaurant,11 > 42,kuliner,belanja
2013_1036724,43472,train,2,kuliner > hiburan,Seafood Restaurant > Multiplex,11242 > 2120,hiburan,kuliner
2013_1040115,43643,train,3,belanja > budaya_edukasi > kuliner,Shopping Mall > Movie Theater > Steakhouse,1 > 26996 > 326,kuliner,belanja > budaya_edukasi
2013_1040119,43643,train,2,belanja > kuliner,Shopping Mall > Coffee Shop,13 > 18982,kuliner,belanja
2013_1040121,43643,train,2,belanja > hiburan,Shopping Mall > Multiplex,13 > 18,hiburan,belanja
2013_1040126,43643,test,2,belanja > kuliner,Shopping Mall > Seafood Restaurant,23 > 16263,kuliner,belanja
2013_104047,3971,train,2,kuliner > kuliner,Dim Sum Restaurant > Dim Sum Restaurant,7737 > 7851,kuliner,kuliner
2013_104048,3971,test,3,belanja > kuliner > kuliner,Shopping Mall > Burger Joint > Indonesian Restaurant,23 > 12581 > 22758,kuliner,belanja > kuliner
2013_104051,3971,validation,3,kuliner > belanja > hiburan,Frozen Yogurt Shop > Shopping Mall > Multiplex,155 > 366 > 369,hiburan,kuliner > belanja
2013_1040621,43669,train,2,belanja > hiburan,Shopping Mall > Karaoke Bar,65 > 17081,hiburan,belanja
2013_1040633,43669,train,3,belanja > alam_santai > kuliner,Shopping Mall > Park > Food Court,3202 > 1068 > 13446,kuliner,belanja > alam_santai
2013_1040634,43669,train,2,hiburan > belanja,Music Venue > Shopping Mall,15290 > 3202,belanja,hiburan
2013_1040638,43669,train,4,budaya_edukasi > belanja > religi > kuliner,Art Gallery > Shopping Mall > Mosque > Fried Chicken Joint,19814 > 3202 > 711 > 608,kuliner,budaya_edukasi > belanja > religi
2013_1040639,43669,train,2,belanja > hiburan,Shopping Mall > Multiplex,1 > 297,hiburan,belanja
2013_104065,3971,validation,2,belanja > hiburan,Shopping Mall > Multiplex,1 > 297,hiburan,belanja
2013_1041097,43689,train,2,belanja > kuliner,Shopping Mall > Dessert Shop,1 > 546,kuliner,belanja
2013_1041098,43689,train,2,hiburan > kuliner,Multiplex > Pizza Place,297 > 536,kuliner,hiburan
2013_1041104,43689,validation,2,kuliner > kuliner,Chinese Restaurant > Café,3182 > 14290,kuliner,kuliner
2013_1041105,43689,test,2,kuliner > hiburan,Coffee Shop > Multiplex,378 > 18,hiburan,kuliner
2013_1041106,43689,train,3,kuliner > kuliner > hiburan,Asian Restaurant > Indonesian Restaurant > Karaoke Bar,11910 > 15629 > 21457,hiburan,kuliner > kuliner
2013_1041111,43689,train,2,kuliner > hiburan,Indonesian Restaurant > Karaoke Bar,96 > 21457,hiburan,kuliner
2013_1041379,43704,validation,2,belanja > hiburan,Shopping Mall > Multiplex,3202 > 7446,hiburan,belanja
2013_1044115,43840,train,2,belanja > kuliner,Shopping Mall > Café,3 > 13493,kuliner,belanja
2013_1044117,43840,test,2,belanja > kuliner,Shopping Mall > Café,3 > 16046,kuliner,belanja
2013_1044131,43840,train,2,kuliner > belanja,Steakhouse > Shopping Mall,28065 > 3202,belanja,kuliner
2013_1044132,43840,test,2,belanja > belanja,Shopping Mall > Shopping Mall,3202 > 13,belanja,belanja
2013_1046366,43928,train,2,kuliner > belanja,Seafood Restaurant > Bookstore,11095 > 83,belanja,kuliner
2013_1046370,43928,train,2,belanja > kuliner,Bookstore > Fried Chicken Joint,114 > 608,kuliner,belanja
2013_1046372,43928,train,2,belanja > kuliner,Shopping Mall > Fast Food Restaurant,6 > 1550,kuliner,belanja
2013_1046375,43928,train,3,belanja > hiburan > kuliner,Shopping Mall > Multiplex > Café,1 > 297 > 14290,kuliner,belanja > hiburan
2013_1046378,43928,train,2,kuliner > alam_santai,Burger Joint > Park,11492 > 8304,alam_santai,kuliner
2013_1046382,43928,test,5,belanja > hiburan > kuliner > hiburan > kuliner,Shopping Mall > Multiplex > Donut Shop > Multiplex > Food Court,1 > 297 > 76 > 297 > 8705,kuliner,belanja > hiburan > kuliner > hiburan
2013_1046383,43928,train,3,kuliner > belanja > kuliner,Indonesian Restaurant > Boutique > Seafood Restaurant,9723 > 519 > 10952,kuliner,kuliner > belanja
2013_1046384,43928,test,4,belanja > kuliner > hiburan > kuliner,Shopping Mall > Donut Shop > Arcade > Fried Chicken Joint,1 > 76 > 600 > 190,kuliner,belanja > kuliner > hiburan
2013_1047162,43971,train,2,kuliner > kuliner,Asian Restaurant > Indonesian Restaurant,3794 > 2232,kuliner,kuliner
2013_1047170,43971,test,2,alam_santai > alam_santai,Sculpture Garden > Scenic Lookout,1442 > 10340,alam_santai,alam_santai
2013_1047175,43971,train,2,kuliner > hiburan,Café > Concert Hall,38 > 28004,hiburan,kuliner
2013_1047540,43986,test,3,hiburan > belanja > kuliner,Multiplex > Shopping Mall > Burger Joint,297 > 1 > 14299,kuliner,hiburan > belanja
2013_1047541,43986,validation,2,belanja > kuliner,Bookstore > Burger Joint,23972 > 12581,kuliner,belanja
