trail_id,user_id,venue_id,latitude,longitude,name,address,venue_category,venue_category_id,venue_category_id_code,venue_city,venue_city_latitude,venue_city_longitude,venue_country,timestamp
2013_1050,21,4029,-6.864581775319079,107.63096672887345,Bukit Bintang,Jalan Bukit Dago Timur,Scenic Lookout,4bf58dd8d48988d165941735,137,Bandung,-6.92222,107.60694,ID,2012-04-10 17:52:00
2013_1050,21,3671,-6.885027830964046,107.61755617744008,Bebek Ngarasan,Jl. Tubagus Ismail Raya No. 21,Asian Restaurant,4bf58dd8d48988d142941735,105,Bandung,-6.92222,107.60694,ID,2012-04-10 21:52:00
2013_1050,21,13436,-6.888549590744764,107.61963511226728,Distributor maicih sekeloa,Jl.Sekeloa 110/152c RT02 RW05,Snack Place,4bf58dd8d48988d1c7941735,223,Bandung,-6.92222,107.60694,ID,2012-04-10 22:52:00
2013_1050,21,4307,-6.883369103731066,107.61731736074988,Warung Ibu Siti,Jl. Tubagus Ismail V No.18,Asian Restaurant,4bf58dd8d48988d142941735,105,Bandung,-6.92222,107.60694,ID,2012-04-10 22:53:00
2013_1050,21,15648,-6.890811005347684,107.61696872173836,ME 'n U Coffee Pantry,Jalan Dipatiukur no 68,Café,4bf58dd8d48988d16d941735,145,Bandung,-6.92222,107.60694,ID,2012-04-11 00:52:00
2013_1050,21,9250,-6.8890090270935485,107.6179838587018,Kantin Mitha,Jl. Sekeloa No. 19,Diner,4bf58dd8d48988d147941735,110,Bandung,-6.92222,107.60694,ID,2012-04-11 01:52:00
2013_1050,21,10897,-6.892617518064132,107.61713056252503,Mie Reman,Jalan Teuku Umar No. 6A,Ramen Restaurant,55a59bace4b013909087cb24,423,Bandung,-6.92222,107.60694,ID,2012-04-11 02:52:00
2013_1050,21,542,-6.892243328051117,107.61746090913296,Waroenk Afriany,Jalan Dipati Ukur,Restaurant,4bf58dd8d48988d1c4941735,220,Bandung,-6.92222,107.60694,ID,2012-04-11 03:52:00
2013_1050,21,120,-6.891518422450107,107.61435484123352,Ngopi Doeloe,Jl. Teuku Umar No. 5,Coffee Shop,4bf58dd8d48988d1e0931735,245,Bandung,-6.92222,107.60694,ID,2012-04-11 04:52:00
2013_1050,21,4864,-6.88828638266753,107.60870302645344,Kantin Barat Laut ITB,Institut Teknologi Bandung,Café,4bf58dd8d48988d16d941735,145,Bandung,-6.92222,107.60694,ID,2012-04-11 05:53:00
2013_1050,21,380,-6.890637353959761,107.60754166215122,Kebun Binatang Bandung,Jl. Kebun Binatang No. 6,Zoo,4bf58dd8d48988d17b941735,157,Bandung,-6.92222,107.60694,ID,2012-04-11 10:52:00
2013_1050,21,9387,-6.889887139052751,107.59639540002073,Richeese Factory,Paris Van Java,Fast Food Restaurant,4bf58dd8d48988d16e941735,146,Bandung,-6.92222,107.60694,ID,2012-04-11 13:52:00
2013_1050,21,5,-6.888935476020913,107.59593486785889,Mansion Club,"Paris Van Java, Odeum Building",Nightclub,4bf58dd8d48988d11f941735,58,Bandung,-6.92222,107.60694,ID,2012-04-11 14:52:00
2013_1050,21,3544,-6.889015,107.59613,Odeum,"Paris Van Java, Sky Level",Nightclub,4bf58dd8d48988d11f941735,58,Bandung,-6.92222,107.60694,ID,2012-04-11 15:52:00
2013_1050,21,949,-6.88493054042963,107.61975288391112,KANTIN AA,Jl. Tubagus Ismail,Food Court,4bf58dd8d48988d120951735,60,Bandung,-6.92222,107.60694,ID,2012-04-11 19:52:00
2013_1050,21,14601,-6.885056475168696,107.61786151182328,Sumo Ramen Bar,Jl. Tubagus Ismail Raya No. 22,Ramen Restaurant,55a59bace4b013909087cb24,423,Bandung,-6.92222,107.60694,ID,2012-04-11 21:52:00
2013_1050,21,8674,-6.884874388503778,107.61794687122256,Teraz bambu,Jl. Tubagus Ismail Raya no. 25,Seafood Restaurant,4bf58dd8d48988d1ce941735,229,Bandung,-6.92222,107.60694,ID,2012-04-11 22:52:00
2013_1050,21,13695,,,,,Indonesian Restaurant,4deefc054765f83613cdba6f,321,Bandung,-6.92222,107.60694,ID,2012-04-11 23:52:00
2013_1050,21,791,-6.889532540654028,107.61754720850264,KANTIN AA,Jl. Kubang Selatan No. 48,Asian Restaurant,4bf58dd8d48988d142941735,105,Bandung,-6.92222,107.60694,ID,2012-04-12 01:52:00
2013_1050,21,887,-6.890591004210172,107.61581042207212,Gado Gado Tengku Angkasa,Jalan Tengku Angkasa No. 37,Restaurant,4bf58dd8d48988d1c4941735,220,Bandung,-6.92222,107.60694,ID,2012-04-12 02:52:00
2013_1050,21,13695,,,,,Indonesian Restaurant,4deefc054765f83613cdba6f,321,Bandung,-6.92222,107.60694,ID,2012-04-12 04:52:00
2013_1050,21,14601,-6.885056475168696,107.61786151182328,Sumo Ramen Bar,Jl. Tubagus Ismail Raya No. 22,Ramen Restaurant,55a59bace4b013909087cb24,423,Bandung,-6.92222,107.60694,ID,2012-04-12 05:52:00
2013_1050,21,123,-6.925715982365242,107.63668860103728,Food Court TSM,Trans Studio Mall,Food Court,4bf58dd8d48988d120951735,60,Bandung,-6.92222,107.60694,ID,2012-04-12 06:52:00
2013_1050,21,10065,-6.903532592069686,107.62091377044052,Vanilla Kitchen & Wine,Jl. Cimanuk No. 11,Restaurant,4bf58dd8d48988d1c4941735,220,Bandung,-6.92222,107.60694,ID,2012-04-12 08:52:00
2013_1050,21,516,-6.885606853144607,107.6117040641682,Circle K,Jl. Taman Sari No. 90,Department Store,4bf58dd8d48988d1f6941735,282,Bandung,-6.92222,107.60694,ID,2012-04-12 09:52:00
2013_1050,21,2141,-6.899678341138885,107.60998442170316,Nurita Beauty Salon & Cafe,Jl. Sulanjana 19,Salon / Barbershop,4bf58dd8d48988d110951735,31,Bandung,-6.92222,107.60694,ID,2012-04-12 10:52:00
2013_1050,21,4282,-6.901064579200202,107.6118430495262,Oh La La Cafe,Dago Plaza,Café,4bf58dd8d48988d16d941735,145,Bandung,-6.92222,107.60694,ID,2012-04-12 12:52:00
2013_1050,21,2199,-6.884874388503778,107.61794687122256,Beurgeur,Jalan Tubagus Ismail Raya No. 23,Burger Joint,4bf58dd8d48988d16c941735,144,Bandung,-6.92222,107.60694,ID,2012-04-12 19:52:00
2013_1050,21,4032,-6.885154237120852,107.6181489851684,Nasi Goreng Dona,Jl Tubagus Ismail 24,Food Truck,4bf58dd8d48988d1cb941735,227,Bandung,-6.92222,107.60694,ID,2012-04-12 20:52:00
2013_1050,21,13138,-6.886794179558777,107.62350715339232,Bakso Semar Tubagus,Jl. Terusan Tubagus Ismail No. 1,Indonesian Restaurant,4deefc054765f83613cdba6f,321,Bandung,-6.92222,107.60694,ID,2012-04-12 21:52:00
2013_1050,21,4029,-6.864581775319079,107.63096672887345,Bukit Bintang,Jalan Bukit Dago Timur,Scenic Lookout,4bf58dd8d48988d165941735,137,Bandung,-6.92222,107.60694,ID,2012-04-12 22:52:00
2013_1050,21,11391,-6.883770157466726,107.62322275291864,Bumi Samami,Jalan Terusan Cigadung 15,Garden,4bf58dd8d48988d15a941735,126,Bandung,-6.92222,107.60694,ID,2012-04-12 23:52:00
2013_1050,21,949,-6.88493054042963,107.61975288391112,KANTIN AA,Jl. Tubagus Ismail,Food Court,4bf58dd8d48988d120951735,60,Bandung,-6.92222,107.60694,ID,2012-04-13 00:52:00
