child_penginapan_id,child_name,child_property_type,parent_penginapan_id,parent_name,relation_status,is_main_ranking_candidate,latitude,longitude,overall_rating,reviews,price_lowest,data_quality_score,data_quality_label,link,primary_image_url,notes
LODGE-00471,RedDoorz Resort near Darajat Garut - Standard Double Room,room_level_listing,,,child_without_final_parent,False,-7.2196,107.8089,4,3,241967,0.95,high,https://www.bluepillow.com/search/5f778c08e24da415509fb2d6?dest=bkng&cat=House&lat=-7.2196&lng=107.80893&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/271342387.jpg?k=9003f08e34ee3797f90407191f7d0b27699f4dbfb3ffca0bd82aa46b34e22329&o=&a=1538557,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00488,Penginapan Barkah - Family Room,room_level_listing,,,child_without_final_parent,False,-7.1873,107.604,,,,0.7,medium,https://www.bluepillow.com/search/695e92f3ac408a6eb70b2b84/1443566104?dest=bkng&cat=Apartment&lat=-7.18729&lng=107.60399&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/701912238.jpg?k=a8e994fbfe85afa1ee465b8952ac249273c920658158fdb9908751fc8ca4c3a0&o=&a=2344045,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00489,Penginapan Barkah - Family Room,room_level_listing,,,child_without_final_parent,False,-7.1873,107.604,,,,0.7,medium,https://www.bluepillow.com/search/695e92f3ac408a6eb70b2b84/1443566103?dest=bkng&cat=Apartment&lat=-7.18729&lng=107.60399&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/701912238.jpg?k=a8e994fbfe85afa1ee465b8952ac249273c920658158fdb9908751fc8ca4c3a0&o=&a=2344045,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00490,Penginapan Barkah - Standard Family Room,room_level_listing,,,child_without_final_parent,False,-7.1873,107.604,,,,0.7,medium,https://www.bluepillow.com/search/695e92f3ac408a6eb70b2b84/1443566101?dest=bkng&cat=Apartment&lat=-7.18729&lng=107.60399&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/701912238.jpg?k=a8e994fbfe85afa1ee465b8952ac249273c920658158fdb9908751fc8ca4c3a0&o=&a=2344045,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00510,Pondok Stevia Ciwidey - Deluxe Double Room,room_level_listing,,,child_without_final_parent,False,-7.114,107.4436,3.75,7,419804,0.95,high,https://www.freecancellations.com/search/F2giQ1NSFyUAXFIBVVhYTQ8KVxxmFwBH?lat=-7.11401&lng=107.44361&language=en,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/157935280.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00546,Vila Kopi Ciwidey - Family Room with Garden View,room_level_listing,LODGE-00627,Vila Kopi Ciwidey,accepted_parent,False,-7.1202,107.4415,3.9,4,,0.85,high,https://www.bluepillow.com/search/658380456c560103cb457784/969374403?dest=bkng&cat=villa&lat=-7.1202&lng=107.44148&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/630965170.jpg?k=e4bdb29a9011a3b7a98d9431f541615af0a173f38db2a2ed092bd590b5ddc10b&o=&a=1538557,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00560,Cigadog Residence Mitra Reddoorz - Standard Double Room,room_level_listing,,,child_without_final_parent,False,-7.1403,107.4006,,,115044,0.8,high,https://www.bluepillow.com/search/5f087cf9e24da40d2075c1c2?dest=bkng&cat=House&lat=-7.14025&lng=107.40058&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/540540384.jpg?k=d1a0e437b0ed869eb3a02c3f7c29b1cb9318f3f0b7337f2cec2d5250ce434bdc&o=&s=312x,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00573,OYO 3951 Hotel Tw Rancagoong - Delxue Twin Room,room_level_listing,,,child_without_final_parent,False,-6.825,107.1276,4,1,,0.8,high,https://www.bluepillow.com/search/5df49252e24da45b685b5f92?dest=bkng&cat=&lat=-6.82504&lng=107.1276&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/268301897.jpg?k=df96ac05f83b73b2767c5e0469c0d2a515156038c285c2ace17515cbeb45f155&o=,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00575,Pondok Stevia Ciwidey - Deluxe Double Room,room_level_listing,,,child_without_final_parent,False,-7.114,107.4436,3.75,7,,0.8,high,https://www.bluepillow.com/search/5b5fd0847c00cb02b8485e67/386917003?dest=bkng&cat=Apartment&lat=-7.11402&lng=107.44362&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/155343025.jpg?k=3df8a507eedc80ecd9f62270238ff45e9e4fac5439b1da445c9da99117c7a6b2&o=&s=312x,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00576,RedDoorz Syariah near Tugu Lampu Gentur Cianjur - Deluxe Room,room_level_listing,,,child_without_final_parent,False,-6.8252,107.1256,4,2,,0.8,high,https://www.bluepillow.com/search/61ef0223113b0ba9fb943391?dest=bkng&cat=&lat=-6.82522&lng=107.12556&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/250249275.jpg?k=17e3d3e4bbd7f5d4c1e92614df492c7778b165b0fb3928a8724395ad716c57a1&o=,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00596,Vila Kopi Ciwidey - Family Room with Garden View,room_level_listing,LODGE-00627,Vila Kopi Ciwidey,accepted_parent,False,-7.1202,107.4415,3.9,4,,0.8,high,https://www.freecancellations.com/search/F2cjQQEGSiIHV1BVXlkEEggLD0w1FF0T?lat=-7.1202&lng=107.44148&language=en,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/446566268.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00597,Vila Kopi Ciwidey - King Room with Garden View,room_level_listing,LODGE-00627,Vila Kopi Ciwidey,accepted_parent,False,-7.1202,107.4415,3.9,4,,0.8,high,https://www.bluepillow.com/search/658380456c560103cb457784/969374402?dest=bkng&cat=villa&lat=-7.1202&lng=107.44148&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/630965170.jpg?k=e4bdb29a9011a3b7a98d9431f541615af0a173f38db2a2ed092bd590b5ddc10b&o=&a=1538557,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00614,"Argapuri Jungle Resort - Standard Room, 1 Bedroom, Terrace, Mountain View",room_level_listing,,,child_without_final_parent,False,-7.131,107.5133,4.25,8,,0.75,high,https://www.freecancellations.com/search/F2giQ1MDSHQAXFIBVVhYTQ8KDx40TVZH?lat=-7.13099&lng=107.51325&language=en,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/ex_75b7e8bb_z.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00731,Vedca Asrama Cianjur RedPartner - Economy Twin Room,room_level_listing,,,child_without_final_parent,False,-6.7751,107.2282,,,,0.65,medium,https://www.bluepillow.com/search/6335f562314064d8ba35a41c?dest=bkng&cat=House&lat=-6.77509&lng=107.22822&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/393694503.jpg?k=b0a683743298fdfa65ae2300a4f7770a61ed93238dc590392c78f45c171eed3b&o=,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00732,Vedca Cottage Cianjur - Family Room,room_level_listing,,,child_without_final_parent,False,-6.7751,107.2282,,,,0.65,medium,https://www.bluepillow.com/search/6335f560314064d8ba35a3ee?dest=bkng&cat=House&lat=-6.77509&lng=107.22822&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/393691705.jpg?k=ffb24e3d659f12b213a49afcd6f205eec0e381ab6dac54ad2cf7a321a113f822&o=,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00764,family room,room_level_listing,,,child_without_final_parent,False,-7.1139,107.4387,,,,0.65,medium,https://www.agoda.com/family-room/hotel/bandung-id.html,https://pix8.agoda.net/hotelImages/64625172/0/7779b5a1cb3300e6d7d4ece94e13236e.jpg?ce=0,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00775,Kampung Panorama - Family Room with Lake View,room_level_listing,,,child_without_final_parent,False,-7.1916,107.5591,,,,0.6,medium,,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/536693374.jpg?k=b01a9e8f3c7a1ccd89e9c9172fe9372eb1e1038214dc1274456deb80636f8004&o=,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00798,Penginapan atau Kontrakan Rumah Ciwidey 1 Ruangan 2 Kasur Dewasa Kamar Mandi Dapur Dalam Sewa Harian Mingguan Bulanan Tahunan Boleh - Double Room with Private Bathroom,room_level_listing,,,child_without_final_parent,False,-7.1231,107.4311,,,,0.55,medium,,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/338044815.jpg?k=a27b00dd21391a4d8a5aca9276255deeaa6e6758f3a4dd77e63a6cafc7e27c44&o=&a=1538557,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00829,RedDoorz Resort Syariah @ Batu Apung Purwakarta - Family Room,room_level_listing,,,child_without_final_parent,False,-6.6729,107.5503,2.9,8,220460,0.9,high,,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/238508971.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00831,RedDoorz Resort Syariah @ Jaya Tirta Abadi - Standard Double Room,room_level_listing,,,child_without_final_parent,False,-6.6997,107.4987,4.55,16,162444,0.85,high,,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/752404711.jpg?k=64c32d5565761ee2e8765f66d945ad0f6c79b3236302e3662ed388adf2fd47f0&o=&a=1538557,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00873,Bantal Guling Trans - Standard Double Room with Fan,room_level_listing,LODGE-00871,Bantal Guling Guesthouse Trans,accepted_parent,False,-6.9302,107.6395,2.5,8,190435,1.0,high,https://www.bluepillow.com/search/654cb6b13011da1e8b79a8c4/127328604?dest=bkng&cat=House&lat=-6.93021&lng=107.63953&language=en,https://static.cupid.travel/hotels/248139690.jpg,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00874,Bantal Guling Trans - Standard Family Room,room_level_listing,LODGE-00871,Bantal Guling Guesthouse Trans,accepted_parent,False,-6.9302,107.6395,2.5,8,333261,1.0,high,https://www.bluepillow.com/search/654cb6b13011da1e8b79a8c4/127328603?dest=bkng&cat=House&lat=-6.93021&lng=107.63953&language=en,https://static.cupid.travel/hotels/248139690.jpg,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00875,Bantal Guling Trans - Superior Family Room,room_level_listing,LODGE-00871,Bantal Guling Guesthouse Trans,accepted_parent,False,-6.9302,107.6395,2.5,8,437929,1.0,high,https://www.bluepillow.com/search/654cb6b13011da1e8b79a8c4/127328602?dest=bkng&cat=House&lat=-6.93021&lng=107.63953&language=en,https://static.cupid.travel/hotels/248139690.jpg,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00903,Family Room Gezonder Antapani - Family Room with Balcony,room_level_listing,,,child_without_final_parent,False,-6.9139,107.6603,4.5,3,693804,1.0,high,https://www.freecancellations.com/search/F2olEwdUG3BXWVIHXFsFRloMWEhhRAdC?lat=-6.91392&lng=107.66033&language=en,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/q-xx.bstatic.com/xdata/images/hotel/max1024x683/383788550.jpg?k=1d1380900d83355dde53992918537d54ca396ed55e8211ae6834962cc01d395b&o=&a=2344045&w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00953,Little Mykonos - Deluxe Queen Room,room_level_listing,,,child_without_final_parent,False,-6.9111,107.6059,4.5,8,478762,1.0,high,https://www.bluepillow.com/search/65cabbdb671b07d23c6f6b63?dest=bkng&cat=House&lat=-6.91109&lng=107.60589&language=en,https://static.cupid.travel/hotels/411659789.jpg,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00971,Over Easy Glamping Site - Family Room,room_level_listing,,,child_without_final_parent,False,-6.8527,107.6272,4.15,7,583787,1.0,high,https://www.bluepillow.com/search/65c9fad6671b07d23c697a01?dest=bkng&cat=House&lat=-6.85268&lng=107.62724&language=en,https://static.cupid.travel/hotels/500972091.jpg,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00972,Over Easy Glamping Site - Queen Room,room_level_listing,,,child_without_final_parent,False,-6.8527,107.6272,4.15,7,755678,1.0,high,https://www.bluepillow.com/search/65c9fad6671b07d23c697a01/1095719702?dest=bkng&cat=House&lat=-6.85268&lng=107.62724&language=en,https://static.cupid.travel/hotels/500972091.jpg,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-00998,RedDoorz Syariah near BTC Fashion Mall - Standard Double Room,room_level_listing,LODGE-00997,RedDoorz Syariah near BTC Fashion Mall,accepted_parent,False,-6.8912,107.5819,2.5,5,131236,1.0,high,https://www.bluepillow.com/search/61eedc2b113b0ba9fb93ac3b?dest=bkng&cat=House&lat=-6.89124&lng=107.58194&language=en,https://static.cupid.travel/hotels/101416079.jpg,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-01012,RedDoorz near Taman Makam Pahlawan Cikutra - Deluxe Room,room_level_listing,,,child_without_final_parent,False,-6.8937,107.6385,3.5,3,1206802,1.0,high,https://www.freecancellations.com/search/FDtyQgBTSiAEXFcBDVhQRlkMD09lRQdD?lat=-6.89373&lng=107.63854&language=en,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/q-xx.bstatic.com/xdata/images/hotel/max1024x683/212024648.jpg?k=78c6756a6824cd2227a1edbe5f3f8ff1e726ee2d7a723814f52f6f3118774da0&o=&a=2344045&w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-01113,Bantal Guling Trans - Family Triple Room,room_level_listing,LODGE-00871,Bantal Guling Guesthouse Trans,accepted_parent,False,-6.9302,107.6395,2.5,8,188474,0.95,high,https://www.freecancellations.com/search/F2giQ1MASnYAXFIBVVhYTQ8KV0hlQFBE?lat=-6.9302&lng=107.63953&language=en,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/248139690.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-01121,Cove Horizone - Deluxe Room,room_level_listing,,,child_without_final_parent,False,-6.887,107.585,3.75,2,212118,0.95,high,https://www.bluepillow.com/search/65c9f27d671b07d23c68edcc?dest=bkng&cat=aprtment&lat=-6.88699&lng=107.58503&language=en,https://static.cupid.travel/hotels/ex_7feb66cc_z.jpg,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-01147,Little Mykonos - Queen Room with Balcony,room_level_listing,,,child_without_final_parent,False,-6.9111,107.6059,4.5,8,579329,0.95,high,https://www.bluepillow.com/search/65cabbdb671b07d23c6f6b63/922067706?dest=bkng&cat=House&lat=-6.91109&lng=107.60589&language=en,https://static.cupid.travel/hotels/411659789.jpg,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-01148,Little Mykonos - Standard Queen Room,room_level_listing,,,child_without_final_parent,False,-6.9111,107.6059,4.5,8,529046,0.95,high,https://www.bluepillow.com/search/65cabbdb671b07d23c6f6b63/922067704?dest=bkng&cat=House&lat=-6.91109&lng=107.60589&language=en,https://static.cupid.travel/hotels/407770707.jpg,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-01161,Over Easy Glamping Site - Family Room,room_level_listing,,,child_without_final_parent,False,-6.8527,107.6272,4.15,7,583787,0.95,high,https://www.freecancellations.com/search/F2cjQQEGGyEHV1BVXlkEEggLD083Q1IU?lat=-6.85267&lng=107.62724&language=en,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/500972131.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-01174,RedDoorz Plus near Asia Afrika 3 - Deluxe Room,room_level_listing,LODGE-01306,RedDoorz Plus near Asia Afrika 3,accepted_parent,False,-6.9237,107.6098,4.35,7,310973,0.95,high,https://www.freecancellations.com/search/F2giQ1MGHnIAXFIBVVhYTQ8KV08wFFZG?lat=-6.9237&lng=107.60985&language=en,https://freecancellationscdn-hsbgcwfragasdpfe.z01.azurefd.net/remote/static.cupid.travel/hotels/507797151.jpg?w=1024&h=683&mode=crop&scale=both&anchor=middlecenter&quality=80,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-01210,bumimakhraja syariah 4 - Deluxe Double Room,room_level_listing,,,child_without_final_parent,False,-6.89,107.6302,2.5,2,149602,0.95,high,https://www.bluepillow.com/search/5f73637ae24da41bb0de69c7?dest=bkng&cat=apartment&lat=-6.89&lng=107.6302&language=en,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/332251033.jpg?k=d2bc5ffbba930ece62fa2e400d06c6db60bd416eaf5e4327e09675b4dda0b0d3&o=&a=1538557,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-01502,Urbanview Darmo Residence Bandung - Deluxe Double Room,room_level_listing,,,child_without_final_parent,False,-6.8967,107.5875,,,256053,0.8,high,https://www.bluepillow.com/search/5bcb2faf7c00cb060c4c4f80?dest=bkng&cat=House&lat=-6.89668&lng=107.5875&language=en,https://static.cupid.travel/hotels/581460062.jpg,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-01509,ZEN Rooms Talaga Bodas,room_level_listing,,,child_without_final_parent,False,-6.9291,107.6244,4.1,12,,0.8,high,https://www.zenrooms.com/hotel/8/zen-rooms-talaga-bodas-bandung-1420?utm_source=local&utm_medium=organic&utm_campaign=gmb,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHKzs0AKJg8ZG0SnOsZM7Sv8m1b-iu47r4-FE9ddOj1dnR2KDG6HblmVTSsqx3GtbN41u5GIaAQsL3q4u27YW6WGZy2LEBH2BdcpmRJYgRiDesxnvORoIJ3VoX1sLF_tZw5y_aCyA=s10000,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-01544,Penginapan Rio Anakku Syariah Banjaran Mitra RedDoorz - Standard Twin Room,room_level_listing,LODGE-01388,Penginapan Rio Anakku Syariah Banjaran Mitra RedDoorz,accepted_parent,False,-7.0136,107.6085,,,156200,0.75,high,,https://static.cupid.travel/hotels/377910747.jpg,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-01578,OYO 90025 Pondok Pesona Lembang - Deluxe Double Room,room_level_listing,,,child_without_final_parent,False,-6.8253,107.6446,2.25,16,,0.7,medium,,https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0Z3Zrmk2IZs28TbwaqSs4XtSzsqCPRO7if-0veLdX7ramfKg8Tr4X_OXvuAzF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csbUk6dd9sGo49Qn31picUB_gp5tpRuYsVYYR3OjYxZS_9QYFHyI2ZvSZc32-u6_4ZF8Ta2mQJKfte3wYz2-joqKVPIVyR_8258bCSdVsSstBHsqiba25wCxNZHhuMe-I8Z-0gYBVv8J2BqTv3y6X6jC0Y_-forbQ,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-01592,ZEN Rooms Aria Jipang,room_level_listing,,,child_without_final_parent,False,-6.9,107.6162,5,2,,0.7,medium,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGGIrxEimMt6BfsIGw4UjbhOwN_kjN_223J2R-KUaUOxrmDQ4z1ioqTq68wwsgA39GnEjEY1na3WKTyb6ToWRlq4GppgHuDlMxQBEyny_K3KTfFroJVcZ6zzu21E_rhxPjPUA8WrA=s10000,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-01593,ZEN Rooms Lengkong Gatot Subroto,room_level_listing,,,child_without_final_parent,False,-6.9225,107.6205,4.8,4,,0.7,medium,,https://cdn.worldota.net/t/1024x768/content/2b/5a/2b5aa706a90b0bc6e9149cbb7bef6cf90caf97d2.jpeg,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-01595,Zen Rooms Pangaran Dalem Kaum,room_level_listing,,,child_without_final_parent,False,-6.9242,107.6099,3.8,13,,0.7,medium,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAErm8EnuHtllVWXo26_heWIUYZ_UiQVdBW_zvcBZd9GKailr0WzdJmMyM6ZYoRJL1SCdNk0uV0AxHNhs-F9WnOBrLPWWvYuRyfDxabOaqb6U0OLvXlE17mb9HqZAuXGChDnm6-s-Q=s10000,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
LODGE-01653,Kamar Keluarga Bandung,room_level_listing,,,child_without_final_parent,False,-6.9025,107.6153,,,,0.4,low,,https://lh5.googleusercontent.com/p/Z69iMLwz1F5pN3l0bYhpOQ=s10000,"Disimpan sebagai child/detail, tidak tampil sebagai parent utama."
