penginapan_id,name,property_type_final_after_p3,latitude,longitude,region_validation_label,price_lowest,price_display,overall_rating,reviews,hotel_review_count_analyzed,hotel_adjusted_sentiment_score,hotel_sentiment_label,amenities,primary_image_url,link,data_quality_score,primary_dedupe_status,primary_dedupe_merged_from_ids,data_focus_manual_decision,data_focus_manual_note,data_focus_merge_target_id,completion_priority_order,completion_priority_data_focus,completion_flags_data_focus,completion_route_data_focus,completion_score_data_focus
LODGE-00429,Danapati Homestay,guest_house,-6.8558,107.4809,bandung_raya_valid,,,,,16,0.684409714285377,Positif,,https://dimg04.c-ctrip.com/images//1z64m12000s3uz0vz6840_Mtrip_D.jpg,https://www.trip.com/hotels/detail/?hotelid=134166564&Allianceid=1318093&sid=269617419&utm_medium=vr&utm_campaign=vrwebsite&utm_source=googlevr&trip_sub1=googlevrwebsite,0.45,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_amenities,scrape_place_rating_reviews_and_price,3
LODGE-00430,OYO 90892 My Guest House Syariah,guest_house,-6.9004,107.5225,bandung_raya_valid,,,,,11,0.5104724113085255,Netral,,https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0ZgcCPlX0GskUabCqzVoBMwBjjiX77FK77i0zOAIDWt5WhDjFH5oq8EA63DzF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csbUk6dd9sGqAEVmr2qjQMPI095Pdv3pEtFPIxOxxOPC-YWoFEg4zYvzZQ3nG9m-EOZqmZ2WQ7LfhO30Ezy-iqq5thaUi_-8O59snQYlhEsv9HmOGbfAc9AD17WSO2e-YpU5E9Rgh64AZ_KQd1YCLe4vFaW2TvWuOqoxS3NPSX,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D95867550%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,0.45,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_amenities,scrape_place_rating_reviews_and_price,3
LODGE-00282,BUMI LOKA residence,hotel,-6.8669,107.4576,bandung_raya_valid,,,,,0,,Belum tersedia,Ber-AC; Dapur; Bebas asap rokok; TV Kabel; Dapat diakses pengguna kursi roda,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlbWNZwXU4abzEwx8ecmlkDjdx7HVg11TUUIbjFb5tkoTgpPch8IHRqNxuJ-nWHdAAEKfqiJAxxrxIqB6XgVWpEAfz4xnXDU6tvLxNfU-A2NSXeZ7vRvcg==.jpg,https://www.booking.com/hotel/id/bumi-loka-residence.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-13913669&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-13913669_grp-1_gendate-20260524,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3
LODGE-00781,RedDoorz Resort at Hajeka Pangalengan Bandung,hotel,-7.1974,107.5447,bandung_raya_valid,,,,,0,,Belum tersedia,Cocok untuk anak; Bebas asap rokok; Parkir gratis; Wi-Fi gratis,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/799338474.jpg?k=c11cb4fc1a6c11a10c219c657aff9b588be7cc28bd90dd36937fd0f341065e84&o=&s=312x,https://www.bluepillow.com/search/695ea3d3ac408a6eb70d0f21?dest=bkng&cat=House&p_id=589de4257c00cb10c8d9309f&language=en,0.6,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3
LODGE-01640,Easton Park Residence Naffi Rooms by Mustika,hotel,-6.9361,107.7653,bandung_raya_valid,,,,,0,,Belum tersedia,,https://dimg04.c-ctrip.com/images//1z63y12000r3ikbgg17E0.png_Mtrip_D.jpg,https://www.trip.com/hotels/detail/?hotelid=133368695&Allianceid=1318093&sid=269617419&utm_medium=vr&utm_campaign=vrwebsite&utm_source=googlevr&trip_sub1=googlevrwebsite,0.5,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment|missing_amenities,scrape_place_rating_reviews_and_price,2
LODGE-00810,RedDoorz near Situ Cileunca Pangalengan,hotel,-7.1872,107.5555,bandung_raya_valid,,,,,25,0.3107238458819872,Negatif,,https://dimg04.c-ctrip.com/images//1mc1j12000p6low0904D3_Mtrip_D.jpg,https://www.trip.com/hotels/detail/?hotelid=129102697&Allianceid=1318093&sid=269617419&utm_medium=vr&utm_campaign=vrwebsite&utm_source=googlevr&trip_sub1=googlevrwebsite,0.5,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_amenities,scrape_place_rating_reviews_and_price,3
LODGE-00814,Artana 2 Chipsari by OYO,hotel,-7.1933,107.545,bandung_raya_valid,,,,,21,0.3145772858873397,Negatif,,https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0Z07GXkCYM8SZkCy21GaFr1i2G-EPXDayEtBTPdtLpqOrjAQlw05C6FF-xFzF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csbUk6dd9sWYhZZ2bLtSQWP41C4PdruZMqfo8yAGlOIznTD4R8rfKDqwRbxV_L46cgSN_A210aZtZC-Wkf3-HxtZpcMGaA3uWi_buUSFh17vxbquy2Z3VKCEhgLjWqe90hUeZ_RSYzpAtdQlxXbwvvWmZZgGGBtbjOdCwUNEugcvqpNE_DIc3iBcn9oFcwg1sEzMTt9EYOpwiIURLPIAQ9ix9QtgUgGBxmxVPxYgQvhH7WjCNiwDrLjqtfHbtgzZZrqsKlqw4PPGu-39qd-FTy4xu15yCA39LXMQ_bj6tEo26Mh3fKU0M0ZvbpniawWWPug07k2KfU,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D58734807%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,0.45,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_amenities,scrape_place_rating_reviews_and_price,3
LODGE-00815,RedDoorz @ ADDA Cabin Pengalengan,hotel,-7.2,107.5438,bandung_raya_valid,,,,,0,,Belum tersedia,,https://dimg04.c-ctrip.com/images//0224412000sbsuip9BDE1_Mtrip_D.jpg,https://www.trip.com/hotels/detail/?hotelid=133901185&Allianceid=1318093&sid=269617419&utm_medium=vr&utm_campaign=vrwebsite&utm_source=googlevr&trip_sub1=googlevrwebsite,0.45,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment|missing_amenities,scrape_place_rating_reviews_and_price,2
LODGE-00634,Camping hutan pinus rahong - Tent,vacation_rental,-7.1821,107.5449,bandung_raya_valid,,,,,61,0.5626324542233366,Positif,Perapian; Parkir gratis,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/522577538.jpg?k=afc623352eee5cd94af5d7f98d586d031f3a5a834ebc01bec8107764973d0b98&o=&s=312x,https://www.bluepillow.com/search/65ca0f21671b07d23c6c66d3?dest=bkng&cat=House&lat=-7.18205&lng=107.5449&language=en,0.7,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price,scrape_place_rating_reviews_and_price,4
LODGE-00635,Camping hutan pinus singkur rahong - Tent,vacation_rental,-7.1848,107.5474,bandung_raya_valid,,,,,0,,Belum tersedia,Cocok untuk anak; Perapian; Bebas asap rokok; Parkir gratis,https://static.cupid.travel/hotels/545443034.jpg,https://www.bluepillow.com/search/662643944338d48a8fc77edc?dest=bkng&cat=House&lat=-7.18484&lng=107.54742&language=en,0.7,keep_primary_deduped,LODGE-00679,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3
LODGE-00233,Kawoeng kabin - Tent,vacation_rental,-6.804,107.5492,bandung_raya_valid,,,,,0,,Belum tersedia,Ber-AC; Cocok untuk anak; Penghangat; Bak air panas; Kolam renang di dalam ruangan; Bebas asap rokok; Parkir gratis,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/752639106.jpg?k=0c2cfaaccdf3e0b06adc6605b36acf5e1bf6fa962226f2172e8e00f1f34b9c4a&o=&a=1538557,https://www.bluepillow.com/search/695e99f7ac408a6eb70badd6?dest=bkng&cat=House&lat=-6.80401&lng=107.54918&language=en,0.7,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3
LODGE-00642,Mala Green Camp - Tent,vacation_rental,-7.1659,107.5241,bandung_raya_valid,,,,,19,0.6370683867344464,Positif,Cocok untuk anak; Boleh bawa hewan peliharaan; Bebas asap rokok,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/465327697.jpg?k=ed1ebea2b9cd1343dc509c9e85e7532071204ca81d98babce2ffd5691918652a&o=,https://www.bluepillow.com/search/654ca4c23011da1e8b76e2d3?dest=bkng&cat=House&lat=-7.16586&lng=107.52406&language=en,0.7,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price,scrape_place_rating_reviews_and_price,4
LODGE-00647,SHAKILLA HOUSE 4 PESONA SYARIAH CIANJUR,vacation_rental,-6.8337,107.114,bandung_raya_valid,,,,,0,,Belum tersedia,Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/28168892/0/90c4b7c761ba7a625114dd3af475c37f.jpg?ca=22&ce=0,https://www.agoda.com/shakilla-house-4-pesona-syariah-cianjur/hotel/puncak-id.html,0.7,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3
LODGE-00660,Wulandari Camping ground Riverside - Tent,vacation_rental,-7.1834,107.5454,bandung_raya_valid,,,,,10,0.644758281881726,Positif,Ranjang bayi; Kolam renang di dalam ruangan; Dapur; Pemanggang luar ruang; Bebas asap rokok,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/678593705.jpg?k=49881aa38f6d733107d17d9e96932aaadd4ee238d08c150aeb57fc548bd5c734&o=&a=1538557,https://www.bluepillow.com/search/695e644aac408a6eb70a7f26?dest=bkng&cat=House&lat=-7.18344&lng=107.54543&language=en,0.7,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price,scrape_place_rating_reviews_and_price,4
LODGE-00663,ALI1 Pondok Orange 1 Ciwidey,vacation_rental,-7.1462,107.3891,bandung_raya_valid,,,,,0,,Belum tersedia,Dapur; TV Kabel; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/25688809/0/62bfbd6896ced797d95e04eba8f1219c.jpg?ce=0&s=312x,https://www.bluepillow.com/search/61828a959e3163a56a2791ba?dest=ago&cat=Vacation+rental+(other)&lat=-7.1462&lng=107.38909&language=en,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3
LODGE-00664,ALIFA SHAKILLA HOUSE 3 SYARIAH LIMBANGAN CIANJUR,vacation_rental,-6.8236,107.1221,bandung_raya_valid,,,,,0,,Belum tersedia,Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/51950075/0/0ccb3d3206514cc876772588d1b965da.jpg?ce=0,https://www.agoda.com/alifa-shakilla-house-3-limbangansari-cianjur/hotel/puncak-id.html,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3
LODGE-00665,ALLIKA SHAKILLA HOUSE 3 SYARIAH LIMBANGAN CIANJUR,vacation_rental,-6.8235,107.1219,bandung_raya_valid,,,,,0,,Belum tersedia,Dapur; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/31266067/0/95573f02fc0f63e50709a53df4b68dd8.jpg?ca=29&ce=0,https://www.agoda.com/allika-shakilla-house-3-syariah-limbangan-cianjur/hotel/puncak-id.html,0.65,keep_primary_deduped,LODGE-00666,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3
LODGE-00273,Ace Inn at KBP near IKEA Wahoo Yogya Junction KBP,vacation_rental,-6.8659,107.4565,bandung_raya_valid,,,,,0,,Belum tersedia,Balkon; Bak air panas; Dapur; Microwave; Mesin cuci; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/59788011/0/9237dee79c509b19d7dae5bfeeba09af.jpg?ce=0,https://www.agoda.com/brand-new-staycation-home-in-kbp/hotel/bandung-id.html,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3
LODGE-00274,Aira Glamping,vacation_rental,-6.8036,107.5482,bandung_raya_valid,,,,,28,0.7079614805962402,Positif,Balkon; Parkir gratis,https://pix8.agoda.net/hotelImages/65237287/0/0814a785b3ef5e245510354939640ecc.jpg?ce=0,https://www.agoda.com/keyla-glamping/hotel/pasirlangu-id.html,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price,scrape_place_rating_reviews_and_price,4
LODGE-00667,Alifa Shakilla House 3 Syariah Limbangansari,vacation_rental,-6.8235,107.1219,bandung_raya_valid,,,,,20,0.6859720222522763,Positif,Ber-AC; Dapur; Kompor; Boleh bawa hewan peliharaan; TV Kabel,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlbWNZwXU4abzDhYikZ1GFgjBzNPl3bpe9yuOeXqgPvcA9XseKwdaoAiTA6B-64KDSUJwzlZBwPh1UweMvgEeM22wefGrpt-gHW68VHQleYyIgLZacuepg==.jpg,https://www.booking.com/hotel/id/alifa-shakilla-house-3-syariah-limbangansari.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-14794569&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-14794569_grp-1_gendate-20260524,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price,scrape_place_rating_reviews_and_price,4
LODGE-00668,Alkasturi syariah Cottage Ciwidey Bandung,vacation_rental,-7.1033,107.4324,bandung_raya_valid,,,,,23,0.4646586796370015,Netral,Balkon; Dapur; Pemanggang luar ruang; Kolam renang luar; Parkir gratis; Wi-Fi gratis,https://pix8.agoda.net/hotelImages/33368614/0/11ac969f9b00e82771ab4c674c08122f.jpg?ce=0,https://www.agoda.com/alkasturi-syariah-cottage-ciwidey-bandung/hotel/bandung-id.html,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price,scrape_place_rating_reviews_and_price,4
LODGE-00669,Allika Shakilla House 3 Limbangansari Syariah,vacation_rental,-6.8236,107.1219,bandung_raya_valid,,,,,0,,Belum tersedia,Ber-AC; Dapur; Kompor; Boleh bawa hewan peliharaan; Bebas asap rokok; TV Kabel,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlYG65CxyC0DxRB9RGiwGBr5yZxbwm2f0tEOfO1u-hw9OVQvthL-Lo5KQUKgvMLemVj_c0I1-KKDdzVri1M42xUkrx5691TdHFeKFKWq3Sf6RIfWFHXQcA==.jpg,https://www.booking.com/hotel/id/allika-shakilla-house-3-limbangansari-syariah.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-14756186&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-14756186_grp-2_gendate-20260524,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3
LODGE-00275,Amazing Comfy House in Bandung,vacation_rental,-6.8647,107.4558,bandung_raya_valid,,,,,0,,Belum tersedia,Ber-AC; TV Kabel; Parkir gratis,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/527643624.jpg?k=0cd61a58e339808836e29d09a58eccbea7df77d348449650d0ace50b0fdaeb5b&o=&s=312x,https://www.bluepillow.com/search/65e2339f93553be8f5582fa0?dest=ago&cat=Vacation+rental+(other)&lat=-6.86474&lng=107.45581&language=en,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3
LODGE-00670,Aqilla Shakilla House 3 Syariah Limbanagnsari,vacation_rental,-6.8235,107.1219,bandung_raya_valid,,,,,40,0.7154784485083414,Positif,Ber-AC; Dapur; Kompor; Boleh bawa hewan peliharaan; Bebas asap rokok; TV Kabel,https://xx.bstatic.com/xdata/w/hotel/840x460_watermarked_standard/UlbWNZwXU4abzMmJgCgbMOyoRNeECdDhIIw92zaDlp0KL3RPGMaXDySCrxNCec1y9mvt5jpr7KUHHhIF0yTJIZ8uOVCYs12gg4-iP1YGrZHKsK567o5gPQ==.jpg,https://www.booking.com/hotel/id/aqilla-shakilla-house-3-syariah-limbanagnsari.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-14794504&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-14794504_grp-0_gendate-20260524,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price,scrape_place_rating_reviews_and_price,4
LODGE-00671,Argapuri Resort,vacation_rental,-7.1128,107.4585,bandung_raya_valid,,,,,0,,Belum tersedia,Kolam renang luar; TV Kabel,https://p.fih.io/v2/nSr0o-3gbZN8o1xMecXCcG-BkDeQVo3k-wOeVogkTe7ajuFOX7O-WA8aRWhXz1jsToZif_TsA_xCWfhWRa0ZqYGlk2Ip2EQ8J0uXVsRt-jH_uFr2QquFiQ7ZMIfFpaSkKyJi8YnoBhf2PTF4en3ketkYyx1j1dLbUfhlOgkNcIcn9PwNtk_AU2csbUk6dd9sHrY9VmP2oVsLB5Ip-_d7po4WFPszFWsfHTv-Y8FQkOGVvzZQ3nCUquEZUr_G51U7Tt8CQ80VMe_oUmplwhVovA,https://deals.vio.com?sig=73aca13c7f952d2641c156f3e69125e1eb497c325f122828ee5aa8797168b9a12d32303331333438363233&turl=https%3A%2F%2Fwww.vio.com%2FHotel%2FSearch%3FhotelId%3D2013767%26utm_source%3Dgha-vr%26utm_campaign%3Dstatic%26openHotelDetails%3D1,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3
LODGE-00672,Arjuna,vacation_rental,-7.1113,107.4968,bandung_raya_valid,,,,,0,,Belum tersedia,Balkon; Dapur; Pemanggang luar ruang; Kolam renang luar,https://pix8.agoda.net/hotelImages/58295408/0/221aa01068ffe83c0a0eeebd10c72778.jpg?ce=0,https://www.agoda.com/arjuna/hotel/bandung-id.html,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3
LODGE-00673,Arjuna cottage rafting - Tent,vacation_rental,-7.1897,107.5519,bandung_raya_valid,,,,,0,,Belum tersedia,Ranjang bayi; Pemanggang luar ruang; Bebas asap rokok,https://q-xx.bstatic.com/xdata/images/hotel/max1024x683/518665785.jpg?k=e4dc249bfcd259cc2c3a694edf133772f77d94d56f803bdf3347ca64d414a0e0&o=,https://www.bluepillow.com/search/65ca0cca671b07d23c6b9d5e?dest=bkng&cat=House&lat=-7.18965&lng=107.55187&language=en,0.65,unique_primary,,,,,2,P1_core_rating_price_missing,missing_rating_reviews|missing_price|missing_sentiment,scrape_place_rating_reviews_and_price,3
