penginapan_id,primary_name,scrape_name,match_method,match_confidence,distance_km,primary_property_type,scrape_type,primary_priority_before,primary_price_before,scrape_price_lowest,scrape_price_display,primary_rating_before,primary_reviews_before,scrape_overall_rating,scrape_reviews,fillable_price,fillable_rating_reviews,query,source_file,page_number,property_token,link,price_sources,hotel_class,check_in_time,check_out_time,primary_image_url,amenities
LODGE-01043,Summer Hills Hotel & Villas Bandung,Summer Hills Hotel & Villas Bandung,exact_normalized_name,safe_apply_candidate,0.004884,villa,hotel,OK_complete_enough,266679.0,325941.0,Rp 325.941,4.3,2855.0,4.3,2857.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,1,ChgIw7DHubv6jc5fGgwvZy8xMXhqMjg3d3kQAQ,https://www.summerhills.co.id/,,Hotel bintang 3,15.00,12.00,,Free breakfast; Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Restaurant; Room service; Airport shuttle; Full-service laundry; Kid-friendly
LODGE-00927,Hotel Aston Tropicana Bandung,Hotel Aston Tropicana Bandung,exact_normalized_name,safe_apply_candidate,0.004508,hotel,hotel,OK_complete_enough,756448.0,757520.0,Rp 757.520,4.8,25365.0,4.8,25437.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,1,ChkI98i8mpOUy6vpARoML2cvMXltODJzZ3I4EAE,http://tropicana.astonhotelsinternational.com/,,Hotel bintang 4,14.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Fitness center; Spa; Bar; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Business center; Kid-friendly
LODGE-01252,Grand Sovia Hotel,Grand Sovia Hotel,exact_normalized_name,safe_apply_candidate,0.002995,hotel,hotel,OK_complete_enough,332000.0,342173.0,Rp 342.173,4.2,4356.0,4.2,4360.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,1,ChoI8frDxOi5nN7HARoNL2cvMTFiNzN3dnc0NhAB,,,Hotel bintang 3,14.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Spa; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Kid-friendly
LODGE-00990,RedDoorz Plus @ Karapitan Street,RedDoorz Plus @ Karapitan Street,exact_normalized_name,safe_apply_candidate,0.005803,hotel,hotel,OK_complete_enough,187425.0,204383.0,Rp 204.383,4.6,243.0,4.6,243.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,2,ChoIkeS5_6aS-bbhARoNL2cvMTFxcGp4c3NwNRAB,https://www.sanshotels.com/id-id/hotel/indonesia/bandung/lengkong/cikawao/reddoorz-plus-karapitan-street?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,,Hotel bintang 3,14.00,12.00,,Free Wi-Fi; Free parking; Air conditioning
LODGE-00939,Hotel Santika Pasirkaliki - Bandung,Hotel Santika Pasirkaliki - Bandung,exact_normalized_name,safe_apply_candidate,0.001445,hotel,hotel,OK_complete_enough,881984.0,722373.0,Rp 722.373,4.7,826.0,4.7,829.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,2,ChkImo_Bzbm4v-YvGg0vZy8xMXNmN3cyMHAzEAE,https://www.mysantika.com/indonesia/bandung/hotel-santika-pasir-kaliki,,Hotel bintang 3,14.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Air conditioning; Restaurant; Room service; Full-service laundry
LODGE-00876,Best Western Premier La Grande,Best Western Premier La Grande,exact_normalized_name,safe_apply_candidate,0.005645,hotel,hotel,OK_complete_enough,890800.0,789586.0,Rp 789.586,4.6,8923.0,4.6,8931.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,2,ChkIzPW9hrTw7sB6Gg0vZy8xMWJ3MmcxNnJoEAE,https://www.bestwestern.com/en_US.html,,Hotel bintang 4,14.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Pools; Air conditioning; Fitness center; Spa; Bar; Restaurant; Room service; Kitchen in some rooms; Airport shuttle; Full-service laundry; Accessible; Business center; Kid-friendly
LODGE-00938,Hotel Santika Pasir Koja,Hotel Santika Pasir Koja,exact_normalized_name,safe_apply_candidate,0.002992,hotel,hotel,OK_complete_enough,652795.0,700728.0,Rp 700.728,4.7,2390.0,4.7,2400.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,2,ChoItLLUoruu947wARoNL2cvMTFoNTFjNXBzeBAB,https://mysantika.com/indonesia/bandung/hotel-santika-pasir-koja,,Hotel bintang 3,14.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Restaurant; Room service; Airport shuttle; Full-service laundry
LODGE-00978,Promenade Hotel Bandung,Promenade Hotel Bandung,exact_normalized_name,safe_apply_candidate,0.001478,hotel,hotel,OK_complete_enough,328495.0,193823.0,Rp 193.823,3.9,1720.0,3.9,1724.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,2,ChkIlYr2ho-f9LC3ARoML2cvMTF4cXpnNG15EAE,https://www.oyorooms.com/ID/80657/,,Hotel bintang 3,14.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Air conditioning; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Kid-friendly
LODGE-01080,Vio Hotel Pasteur,Vio Hotel Pasteur,exact_normalized_name,safe_apply_candidate,0.004442,hotel,hotel,OK_complete_enough,321192.0,324722.0,Rp 324.722,4.3,3811.0,4.3,3822.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,2,ChkIqK-Dhr3Q4_HEARoML2cvMTF4OXAxNTdoEAE,https://viohotel.com/vio-pasteur,,Hotel bintang 3,14.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Air conditioning; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Kid-friendly
LODGE-01250,Gandasari Hotel,Gandasari Hotel,exact_normalized_name,safe_apply_candidate,0.00363,hotel,hotel,P3_source_link_missing,230125.0,246563.0,Rp 246.563,4.1,839.0,4.1,842.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,2,ChcI95_mj8ew15B2GgsvZy8xdGx2NDlobhAB,,,Hotel bintang 3,14.00,12.00,,Breakfast ($); Free Wi-Fi; Free parking; Air conditioning; Restaurant; Room service; Full-service laundry; Accessible; Kid-friendly
LODGE-00966,Noor Hotel,Noor Hotel,exact_normalized_name,safe_apply_candidate,0.002749,hotel,hotel,OK_complete_enough,838057.0,898204.0,Rp 898.204,4.6,2145.0,4.6,2149.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,2,ChoIxszt-O7Dyti2ARoNL2cvMTFiNmhsaF90NRAB,http://noorhotels.com/,,Hotel bintang 3,15.00,01.00,,Breakfast; Free Wi-Fi; Free parking; Air conditioning; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Kid-friendly
LODGE-00958,Meize City Center Hotel Bandung,Meize City Center Hotel Bandung,exact_normalized_name,safe_apply_candidate,0.000635,hotel,hotel,OK_complete_enough,232517.0,339885.0,Rp 339.885,4.2,3756.0,4.2,3760.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,2,ChoIuI_K6Zfb06b0ARoNL2cvMTFiYnljcTlseRAB,https://m.meizebandung.com/,,Hotel bintang 3,14.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Air conditioning; Spa; Restaurant; Room service; Accessible; Kid-friendly
LODGE-01049,The Dago Highland Resort,The Dago Highland Resort,exact_normalized_name,safe_apply_candidate,0.001803,hotel,hotel,OK_complete_enough,327684.0,345911.0,Rp 345.911,4.2,2268.0,4.2,2269.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,2,ChcIi6yx5NWH84lUGgsvZy8xdGhuN3RwehAB,http://dagohighland.com/,,Hotel bintang 3,14.00,12.00,,Free breakfast; Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Restaurant; Room service; Accessible; Kid-friendly
LODGE-00912,Grand Dafam Braga Bandung,Grand Dafam Braga Bandung,exact_normalized_name,safe_apply_candidate,0.006394,hotel,hotel,P2_sentiment_missing,641632.0,869322.0,Rp 869.322,4.8,4516.0,4.8,4564.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,2,ChkI1N7kqLTWrKFmGg0vZy8xMXFxZjY2N3FiEAE,https://granddafambraga.com/,,Hotel bintang 4,14.00,12.00,,Free breakfast; Free Wi-Fi; Free parking; Outdoor pool; Hot tub; Air conditioning; Fitness center; Spa; Bar; Restaurant; Room service; Kitchen in some rooms; Airport shuttle; Full-service laundry; Business center
LODGE-00948,Kedaton Hotel Bandung,Kedaton Hotel Bandung,exact_normalized_name,safe_apply_candidate,0.005577,hotel,hotel,OK_complete_enough,390240.0,414436.0,Rp 414.436,4.3,3269.0,4.3,3269.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,2,ChoIgY3X05LAjdi9ARoNL2cvMTFiNmQyMzZqZBAB,https://kedatonhotel.com/,,Hotel bintang 3,14.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Fitness center; Spa; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Business center; Kid-friendly
LODGE-00048,Sans Hotel Skyland Pasteur Bandung,Sans Hotel Skyland Pasteur Bandung,exact_normalized_name,safe_apply_candidate,0.006373,hotel,hotel,OK_complete_enough,143509.0,134569.0,Rp 134.569,4.2,216.0,4.3,242.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,2,ChoIieOMh4K6yq3_ARoNL2cvMTFzcnh4d3JkZxAB,https://www.sanshotels.com/id-id/hotel/indonesia/bandung/sukajadi/sukawarna/sans-hotel-dago-skyland?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,,,14.00,12.00,,Breakfast ($); Free Wi-Fi; Free parking; Indoor pool; Hot tub; Air conditioning; Spa; Bar; Restaurant; Room service; Kitchen in some rooms; Airport shuttle; Accessible; Smoke-free property
LODGE-01095,éL Hotel Bandung,éL Hotel Bandung,exact_normalized_name,safe_apply_candidate,0.002849,hotel,hotel,OK_complete_enough,758887.0,768873.0,Rp 768.873,4.6,20541.0,4.6,20592.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,2,ChkIt_OxzobQofPZARoML2cvMWhmOTFienM4EAE,https://bandung.el-hotels.com/,,Hotel bintang 4,15.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Fitness center; Spa; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Business center; Kid-friendly
LODGE-00933,Hotel Grand Tebu,Hotel Grand Tebu,exact_normalized_name,safe_apply_candidate,0.002237,hotel,hotel,OK_complete_enough,621408.0,607925.0,Rp 607.925,4.5,5385.0,4.5,5408.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,3,ChkIwIGq4tTssv1SGg0vZy8xMWNuYjM2eGtoEAE,http://www.grandtebuhotels.com/,,Hotel bintang 4,14.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Fitness center; Spa; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Kid-friendly
LODGE-00893,Cottonwood Boutique Heritage Otten,Cottonwood Boutique Heritage Otten,exact_normalized_name,safe_apply_candidate,0.00522,hotel,hotel,OK_complete_enough,576529.0,600198.0,Rp 600.198,4.7,366.0,4.7,368.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,3,ChkI84Td5aDi8s5lGg0vZy8xMW5tbmhmcnE0EAE,http://www.instagram.com/cottonwoodstays,,,14.00,,,Free Wi-Fi; Free parking; Air conditioning; Restaurant; Room service
LODGE-01082,"Vue Palace, ARTOTEL Curated","Vue Palace, ARTOTEL Curated",exact_normalized_name,safe_apply_candidate,0.006015,hotel,hotel,OK_complete_enough,409078.0,397667.0,Rp 397.667,4.4,3423.0,4.4,3429.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,3,ChgItueTrdvog_fSARoLL2cvMXRkcmhwNTEQAQ,"https://artotelwanderlust.com/hotel/vue-palace,-artotel-curated/g/Bandung-en.html?checkIn=2024-03-15&checkOut=2024-03-16&id=MA07100281-MA2201000002&encodeId=TUEyMjAxMDAwMDAy",,Hotel bintang 4,14.00,12.00,,Breakfast ($); Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Fitness center; Spa; Bar; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Business center; Kid-friendly; Smoke-free property
LODGE-01058,The Trans Luxury Hotel,The Trans Luxury Hotel,exact_normalized_name,safe_apply_candidate,0.006413,hotel,hotel,OK_complete_enough,1379000.0,1699625.0,Rp 1.699.625,4.8,14047.0,4.8,14052.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,3,ChgIqrbq8fO12sl3GgwvZy8xaGZoaGo3X2sQAQ,https://transhotelgroup.com/hotel_overview/3,,Hotel bintang 5,15.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Outdoor pool; Hot tub; Air conditioning; Fitness center; Spa; Bar; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Business center; Kid-friendly
LODGE-00954,MOXY Bandung,MOXY Bandung,exact_normalized_name,safe_apply_candidate,0.006686,hotel,hotel,OK_complete_enough,827547.0,801847.0,Rp 801.847,4.5,4258.0,4.5,4261.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,3,ChkIr8TbqPGR7_JrGg0vZy8xMWNuNmZmd3J6EAE,https://www.marriott.com/en-us/hotels/bdoox-moxy-bandung/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,,Hotel bintang 3,15.00,12.00,,Breakfast ($); Free Wi-Fi; Free parking; Air conditioning; Fitness center; Bar; Restaurant; Room service; Accessible; Business center; Kid-friendly
LODGE-00915,Grand Pacific Hotel,Grand Pacific Hotel,exact_normalized_name,safe_apply_candidate,0.001069,hotel,hotel,P2_sentiment_missing,334688.0,428201.0,Rp 428.201,4.4,2978.0,4.4,2985.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,3,ChcIwMCmgOGJ0uE6GgsvZy8xdG44bno4OBAB,http://www.grandpacifichotel.co.id/,,Hotel bintang 3,14.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Spa; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Business center; Kid-friendly
LODGE-00139,The Cluster Harris,The Cluster Harris,exact_normalized_name,safe_apply_candidate,0.0,hotel,hotel,P2_sentiment_missing,293936.0,325902.0,Rp 325.902,4.5,57.0,4.5,62.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,3,ChoI_r-itfLm_86iARoNL2cvMTF2ZGgxczByaBAB,http://bit.ly/TheClusterHarris,,,14.00,12.00,,Breakfast ($); Free Wi-Fi; Free parking; Air conditioning; Restaurant; Room service; Full-service laundry; Smoke-free property
LODGE-00947,Janévalla Bandung,Janévalla Bandung,exact_normalized_name,safe_apply_candidate,0.005979,hotel,hotel,OK_complete_enough,784320.0,999922.0,Rp 999.922,4.6,5706.0,4.6,5752.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,3,ChoIpYvguJG-t-LfARoNL2cvMTFnZms1d2s4eBAB,https://janevallabandung.com/,,Hotel bintang 4,23.00,23.00,,Breakfast; Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Fitness center; Bar; Restaurant; Room service; Full-service laundry; Accessible; Kid-friendly
LODGE-01053,The Luxton Bandung Hotel,The Luxton Bandung Hotel,exact_normalized_name,safe_apply_candidate,0.003716,hotel,hotel,OK_complete_enough,607170.0,716901.0,Rp 716.901,4.4,5040.0,4.4,5043.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,3,ChcIhPvHwLy2lMdOGgsvZy8xdGczN2pjOBAB,http://theluxton.com/bandung,,Hotel bintang 4,14.00,12.00,,Breakfast; Free Wi-Fi; Free parking; Outdoor pool; Hot tub; Air conditioning; Fitness center; Spa; Bar; Restaurant; Room service; Full-service laundry; Accessible; Business center; Kid-friendly
LODGE-00959,Mercure Bandung City Centre,Mercure Bandung City Centre,exact_normalized_name,safe_apply_candidate,0.006429,hotel,hotel,OK_complete_enough,870866.0,938001.0,Rp 938.001,4.5,8762.0,4.5,8816.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,3,ChkIkouAheiyqOt6Gg0vZy8xMWM1Z2d5NWh4EAE,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=9598&merchantid=seo-maps-ID-9598&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,,Hotel bintang 4,15.00,12.00,,Breakfast ($); Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Fitness center; Spa; Bar; Restaurant; Room service; Airport shuttle; Full-service laundry; Accessible; Kid-friendly
LODGE-01195,The Naripan Hotel,The Naripan Hotel,exact_normalized_name,safe_apply_candidate,0.006672,hotel,hotel,OK_complete_enough,289196.0,292393.0,Rp 292.393,3.9,2260.0,3.9,2275.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,4,ChcIlKf_gL7N4pYrGgsvZy8xdGdnbDFuYhAB,https://thenaripanhotel.com/,,Hotel bintang 3,15.00,,,Breakfast; Free Wi-Fi; Free parking; Outdoor pool; Air conditioning; Restaurant; Room service; Full-service laundry; Kid-friendly
LODGE-00858,Amaris Hotel Setiabudhi Bandung,Amaris Hotel Setiabudhi Bandung,exact_normalized_name,safe_apply_candidate,0.003551,hotel,hotel,OK_complete_enough,343955.0,439593.0,Rp 439.593,4.4,2850.0,4.4,2855.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,4,ChkI8qbVpcmxlfoFGg0vZy8xMWNqajB0OHQ2EAE,https://mysantika.com/indonesia/bandung/amaris-hotel-setiabudhi-bandung,,Hotel bintang 2,14.00,12.00,,Free breakfast; Free Wi-Fi; Free parking; Air conditioning; Restaurant; Room service; Accessible; Kid-friendly
LODGE-01111,Bangreng Inn,Bangreng Inn,exact_normalized_name,safe_apply_candidate,0.006071,hotel,hotel,OK_complete_enough,201538.0,223480.0,Rp 223.480,4.9,160.0,4.9,160.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,4,ChkIwt6S44eKwYw-Gg0vZy8xMXY2Nmg3anF6EAE,http://bangrenginnhotel.zoombookdirect.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=google_my_business,,,,12.00,,Free Wi-Fi
LODGE-00909,Golden Flower Hotel,Golden Flower Hotel,exact_normalized_name,safe_apply_candidate,0.003385,hotel,hotel,P2_sentiment_missing,371176.0,428652.0,Rp 428.652,4.3,7134.0,4.3,7170.0,False,False,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,4,ChcIirnQ-Y2vqtxZGgsvZy8xdGZoMXMwXxAB,https://booking.kagumhotels.com/offers?hotel=GFLW,,Hotel bintang 4,15.00,12.00,,Breakfast; Free Wi-Fi; Parking; Outdoor pool; Air conditioning; Fitness center; Spa; Restaurant; Room service; Full-service laundry; Accessible; Kid-friendly
