search_query,target_id,target_name,result_source,result_name,distance_km,name_similarity,price_lowest,price_display,overall_rating,reviews,property_token,audit_status
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,CIMAHI GUEST HOUSE,2.665,0.4,105135.0,Rp 105.135,4.5,69.0,ChgIuPSCyrXq22oaDS9nLzExc2pkX2d6dGMQAQ,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,High Livin Apartment Baros,2.528,0.121,223019.0,Rp 223.019,3.2,123.0,ChkIl6fOk6C-p_wKGg0vZy8xMWpseXpxazk4EAE,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Sans Hotel Skyland Pasteur Bandung,3.457,0.074,134569.0,Rp 134.569,4.3,241.0,ChoIieOMh4K6yq3_ARoNL2cvMTFzcnh4d3JkZxAB,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,West Point Hotel Bandung,5.054,0.235,521112.0,Rp 521.112,4.3,4387.0,ChkI-MLUrd7Bm-x6Gg0vZy8xMWM1N21mOXM2EAE,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,OYO 3463 Cimahi Guest House,2.664,0.294,111680.0,Rp 111.680,3.7,324.0,ChoIwOnKrKfGhY2aARoNL2cvMTFqNjVmbno0eRAB,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Zameena Guest House,2.49,0.154,262080.0,Rp 262.080,3.6,441.0,ChkI3tbByrvX7fFuGg0vZy8xMWM2Y2Q4YjMxEAE,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Hotel Cassadua,3.539,0.133,192000.0,Rp 192.000,3.8,941.0,ChcIk5y2hbyt6NoiGgsvZy8xdGZod3EweBAB,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,HOTEL PARAHYANGAN,4.973,0.222,,,3.9,381.0,ChoIsey75unY18asARoNL2cvMTFzYzdscWNxNBAB,other_no_price
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Apartemen The Edge Baros - Kamarku,2.584,0.171,177246.0,Rp 177.246,3.6,187.0,ChoIyNnElYHY_Jn3ARoNL2cvMTFiNmRocnN4ZxAB,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Homestay Budihouse,1.841,0.24,216648.0,Rp 216.648,4.1,577.0,ChkI7b6kvJzD7bQDGg0vZy8xMWI2Z3FiZnA2EAE,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Asthaloka,3.284,0.25,271984.0,Rp 271.984,4.9,376.0,ChkI4ODEh_6yjekpGg0vZy8xMW1kcGdkYnA4EAE,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,The Edge By Orin,2.519,0.125,161312.0,Rp 161.312,4.2,11.0,ChoI2ZLkxP2Dx5zuARoNL2cvMTFqNGRicnRqdxAB,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Geowisata Inn,5.521,0.2,331312.0,Rp 331.312,4.4,977.0,ChgIpoS8z7nv5p5fGgwvZy8xcTVjY3F2NHkQAQ,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Bobo inn Baros,2.643,0.19,297977.0,Rp 297.977,4.0,1.0,ChkIppP16P-y6M98Gg0vZy8xMWx0ZnFrbGd3EAE,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Collection O 90205 Queen Rent Apartment Gateway Pasteur,2.285,0.129,102583.0,Rp 102.583,1.8,89.0,ChoImPeqitSLy6yIARoNL2cvMTFyYzRubHdkchAB,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Ouma Gateway Pasteur Apartment,2.484,0.108,363440.0,Rp 363.440,5.0,36.0,ChoI3IaXyPnTxemWARoNL2cvMTF2aHNkM3czYxAB,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Hotel Candra,0.041,0.154,,,3.9,429.0,ChgI1uK64p3xmKuaARoLL2cvMXRmcTIxcHkQAQ,other_no_price
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Javaretro Hotel & Suite,3.39,0.182,349360.0,Rp 349.360,4.3,463.0,ChkI88O9m5ne-u9wGg0vZy8xMWMxeGZoNDZtEAE,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,OYO Life 92774 The Edge Apartment By My Home,1.054,0.136,,,5.0,2.0,ChkIwuS36tPysfQUGg0vZy8xMWwzM3gxY2NjEAE,other_no_price
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Cottonwood Bed & Breakfast House Bandung,3.345,0.162,538816.0,Rp 538.816,4.6,856.0,ChoIhfO1y6HN4cP3ARoNL2cvMTFiNXI4ODEwYxAB,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Lembur Kiwari Setra Duta RedPartner,2.359,0.095,194104.0,Rp 194.104,4.3,148.0,ChoIrIPuncXegO7ZARoNL2cvMTFieXlyODJxOBAB,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Sari Ater Kamboti Bandung,3.538,0.167,507056.0,Rp 507.056,4.6,1823.0,ChkImM3K_bPfx9khGg0vZy8xMWhqMW5idjJjEAE,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Tirtasari Nice 2 Guest House,2.869,0.229,153232.0,Rp 153.232,4.0,177.0,ChkI2LGzvI_uxd5oGg0vZy8xMWdtejF6eDUwEAE,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Seven Homestay,3.484,0.19,346332.0,Rp 346.332,4.8,40.0,ChkI7buhhOudwsFGGg0vZy8xMWgyamIwYl96EAE,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,LN9 Bandung Guest House,3.445,0.182,196128.0,Rp 196.128,4.3,588.0,ChkIrqS03fXe_ZskGg0vZy8xMWJfM2g3NnNwEAE,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,OYO 1859 Rancabali Residence,2.169,0.114,107027.0,Rp 107.027,4.3,89.0,ChoIsbPa4NuT0IzzARoNL2cvMTFqMGswN21jbBAB,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Grha Blue Sky,3.34,0.1,61624.0,Rp 61.624,3.9,186.0,ChoIzeKImNiohuCNARoNL2cvMTFkeW1uamJwNhAB,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Villa Murah-Unik-Bersih di Lembang Cimahi Bandung,4.506,0.208,484308.0,Rp 484.308,,,ChoQw_bh79Wwkqz_ARoNL2cvMTFtc3Y5OGNrehAC,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Kamarku Apartment at The Edge - Standard Double Room,2.639,0.08,206151.0,Rp 206.151,4.0,1.0,ChkQnunzhaGJh6M9Gg0vZy8xMW5jOF9oaHQyEAI,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Newly 2BR Gateway Apt Pasteur Pool,2.466,0.098,788637.0,Rp 788.637,,,ChkQ6_emmpOXpo0YGg0vZy8xMW5obGg3bHEzEAI,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Studio Gateway Pasteur By Kevin Property Topaz B,2.383,0.154,315295.0,Rp 315.295,,,ChoQgJuyud6U7aiZARoNL2cvMTF4OHk3eHE1aBAC,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Strategic 2BR at Gateway Pasteur Apt By Travelio,2.594,0.163,749308.0,Rp 749.308,,,ChoQ_K3-kO64iKTzARoNL2cvMTFuaGxoYnZmdxAC,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Tirtasari Nice 2 Guest House,2.869,0.229,153237.0,Rp 153.237,4.0,177.0,ChkI2LGzvI_uxd5oGg0vZy8xMWdtejF6eDUwEAE,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Cottonwood Bed & Breakfast House Bandung,3.337,0.162,538848.0,Rp 538.848,4.6,856.0,ChoIhfO1y6HN4cP3ARoNL2cvMTFiNXI4ODEwYxAB,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,OYO 1859 Rancabali Residence,2.17,0.114,107031.0,Rp 107.031,4.3,89.0,ChoIsbPa4NuT0IzzARoNL2cvMTFqMGswN21jbBAB,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Grha Blue Sky,3.34,0.1,61625.0,Rp 61.625,3.9,186.0,ChoIzeKImNiohuCNARoNL2cvMTFkeW1uamJwNhAB,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,RedDoorz near Cimahi Station,2.486,0.333,,,3.8,55.0,ChoI8c-yvtfDpKP9ARoNL2cvMTFoNmp0cnQyeBAB,other_no_price
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Hen's Guest House,1.932,0.167,,,4.7,244.0,ChoIwMeLsbef79n5ARoNL2cvMTFjNWZoNmR0YxAB,other_no_price
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,High Livin Apartment Pasteur,2.408,0.114,272570.0,Rp 272.570,2.8,54.0,ChkI6KHK3rDpuMZuGg0vZy8xMWpfMWZfanh6EAE,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Seven Homestay,3.484,0.19,346341.0,Rp 346.341,4.8,40.0,ChkI7buhhOudwsFGGg0vZy8xMWgyamIwYl96EAE,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Cluster Harris Home Stay & Kos,2.228,0.229,,,4.3,351.0,ChoI_czHm9uwsN3SARoNL2cvMTFjMnBfdnQ3axAB,other_no_price
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Rancho Topaz,2.312,0.211,114865.0,Rp 114.865,4.1,117.0,ChcI-qWMr_yAsbE7GgsvZy8xdGQxMDFyMxAB,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Nabila Syar'i Guest House,3.614,0.125,274698.0,Rp 274.698,4.8,101.0,ChoI1c2wpoyt8antARoNL2cvMTFmMXN3d3cwbhAB,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Bali Puspa Guest House,2.278,0.138,590909.0,Rp 590.909,5.0,7.0,ChoIu5nGhuuDpuOqARoNL2cvMTFqdjg0bDB3MhAB,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Radio Backpacker Guesthouse RBG SYARIAH,2.495,0.174,128722.0,Rp 128.722,4.9,116.0,ChkI0ce7uMWD3bkFGg0vZy8xMWtqeTZqbGo4EAE,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Kost Griya Mas BCI A 39 A,2.858,0.312,225000.0,Rp 225.000,4.6,8.0,ChoIx4LG9tOMh7SBARoNL2cvMTFtdjB0OTB5eBAB,other_property_price_ignore
Hotel Tjimahi Cimahi Jawa Barat Indonesia,LODGE-00263,Hotel Tjimahi,properties,Collection O 1453 The Edge Apartment Cimahi By Kamarku,2.54,0.222,,,1.0,3.0,ChoI4bTQ6LKJzZasARoNL2cvMTFrcmQ5Z3R6eRAB,other_no_price
