penginapan_id,name,apply_status,price_before,price_after,rating_before,rating_after,reviews_before,reviews_after,source_query,source_file,property_token,distance_km,audit_note
LODGE-00684,Ciwidey Homestay 4 Bedroom,applied_price,,2019017.0,,,,,"villa in Ciwidey, Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-57-07-934 (1).json,ChoQ8ND5uIenzpzUARoNL2cvMTF4OHk4Y3gyeBAC,0.039161,Exact normalized name and coordinate distance <= 100m.
LODGE-00686,D'Lily Guest House Syariah,applied_price,,1395853.0,4.4,4.4,22.0,22.0,"villa in Ciwidey, Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-57-07-934 (1).json,ChkQvdTN4sqOrtsaGg0vZy8xMXhjX3ZoNndoEAI,0.039439,Exact normalized name and coordinate distance <= 100m.
LODGE-00769,"Bobocabin Ranca upas, Bandung",applied_price,,659558.0,4.4,4.4,990.0,990.0,"penginapan in Kabupaten Bandung Barat, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-53-48-084.json,ChoIvNuU5fGCyLWKARoNL2cvMTFyX2czZzVnNhAB,0.003458,Exact normalized name and coordinate distance <= 100m.
LODGE-00770,Ciwidey Jungle Camp,applied_price,,318938.0,4.4,4.4,64.0,64.0,"penginapan in Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-51-18-035.json,ChkI8typgsOamLhdGg0vZy8xMXM0el9fbnJkEAE,0.002469,Exact normalized name and coordinate distance <= 100m.
LODGE-00771,Grand Sunshine Resort & Convention,applied_price,,820800.0,4.8,4.8,16012.0,16012.0,"penginapan in Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-51-18-035.json,ChkIqreZv_eF9fc7Gg0vZy8xMWgza3o4MGhmEAE,0.005337,Exact normalized name and coordinate distance <= 100m.
LODGE-00773,Hotel Pesona Ciwidey,applied_price,,386598.0,4.3,4.3,1593.0,1593.0,"penginapan in Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-51-18-035.json,ChkIw-KXpuLi0aUHGg0vZy8xMWdkMWtfNmxmEAE,0.004807,Exact normalized name and coordinate distance <= 100m.
LODGE-00774,Hotel Soreang,applied_price,,260379.0,4.3,4.3,728.0,728.0,"penginapan in Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-51-18-035.json,ChoIkOOvjpGg4aW3ARoNL2cvMTFoeV9ybjJxdhAB,0.002626,Exact normalized name and coordinate distance <= 100m.
LODGE-00776,LuxCamp Riverside Pangalengan by Horison,applied_price,,1053671.0,4.4,4.4,209.0,209.0,"penginapan in Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-51-18-035.json,ChoI296ihb_fqJimARoNL2cvMTFweXJ5NTJ2NBAB,0.004753,Exact normalized name and coordinate distance <= 100m.
LODGE-00778,PURNAMA,applied_price,,170371.0,3.6,3.6,134.0,134.0,"penginapan in Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-51-18-035.json,ChkIksba3sHwmfhrGg0vZy8xMWhidDV4bnBoEAE,0.005776,Exact normalized name and coordinate distance <= 100m.
LODGE-00787,Sutan Raja Hotel and Convention Centre,applied_price,,567709.0,4.4,4.4,6483.0,6483.0,"penginapan in Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-51-18-035.json,ChkItP_u1dbbia7sARoML2cvMXE2amJmeHc3EAE,0.090674,Exact normalized name and coordinate distance <= 100m.
LODGE-00788,The kabayan villa pangalengan (sunrise view),applied_price,,527507.0,4.7,4.7,101.0,101.0,"penginapan in Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-51-18-035.json,ChoI8Iz-kPLu0cnxARoNL2cvMTF0cmRodzF2bRAB,0.005205,Exact normalized name and coordinate distance <= 100m.
LODGE-01397,Selaras Guest House & Restaurant,applied_price,,379313.0,4.6,4.6,1180.0,1180.0,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,ChgIlIPchaOmvtBRGgwvZy8xMXg5YnRkenQQAQ,0.006335,Exact normalized name and coordinate distance <= 100m.
LODGE-01495,SunMoon,applied_price,,238243.0,4.475,4.475,313.0,313.0,"penginapan murah in Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-46-16-156.json,ChoIy4zVrozf2vOeARoNL2cvMTFwdjk3ZHFxchAB,0.000622,Exact normalized name and coordinate distance <= 100m.
LODGE-01536,Hotel Butik Sawunggaling,applied_price,,548485.0,4.2,4.2,812.0,812.0,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,ChgIk9_41vbRhPuDARoLL2cvMXRka3pfMngQAQ,0.005612,Exact normalized name and coordinate distance <= 100m.
LODGE-01556,Teratai,applied_price,,81251.0,4.1,4.1,95.0,95.0,"penginapan murah in Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-46-16-156.json,ChkI49T8s6TVhbkDGg0vZy8xMWoxbTExdzAwEAE,0.003981,Exact normalized name and coordinate distance <= 100m.
LODGE-01571,Hotel Bali Indah,applied_price,,149463.0,3.5,3.5,999.0,999.0,"penginapan murah in Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-46-16-156.json,ChgItNip3pnw5OGgARoLL2cvMXRkdDM3amIQAQ,0.004895,Exact normalized name and coordinate distance <= 100m.
LODGE-01589,Urban Merdeka by UHM,applied_price,,110943.0,4.2,4.2,164.0,164.0,"guest house in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-43-42-412.json,ChoI66aGy_j0pNDUARoNL2cvMTFmcmZtN3BudBAB,0.001634,Exact normalized name and coordinate distance <= 100m.
LODGE-01601,RUMAH TAMU bandung,applied_price,,243144.0,4.6,4.6,36.0,36.0,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,ChkItov636_b59N-Gg0vZy8xMW54M3Jrc3I4EAE,0.004177,Exact normalized name and coordinate distance <= 100m.
LODGE-01607,Ahadiat Hotel & Bungalow,applied_price,,290336.0,4.5,4.5,2293.0,2293.0,"hotel in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-41-28-154.json,ChgIpd374reJ5ZOoARoLL2cvMXRscjJucTcQAQ,0.004754,Exact normalized name and coordinate distance <= 100m.
LODGE-01608,Best Western Setiabudhi Bandung,applied_price,,795979.0,4.8,4.8,464.0,464.0,"penginapan in Kabupaten Bandung Barat, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-53-48-084.json,ChkI0PqAu4r-m_MWGg0vZy8xMXhncTBzcDl2EAE,0.00119,Exact normalized name and coordinate distance <= 100m.
LODGE-01609,Cottage Syariah GS Rumah Kayu,applied_price,,272728.0,4.0,4.0,469.0,469.0,"penginapan in Kabupaten Bandung Barat, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-53-48-084.json,ChoIheO_qKe18v_oARoNL2cvMTFmNHd2M2hmZhAB,0.004078,Exact normalized name and coordinate distance <= 100m.
LODGE-01610,Favehotel Hyper Square,applied_price,,396992.0,4.4,4.4,6458.0,6458.0,"guest house in Kota Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-43-42-412.json,ChgIhoTH4rzHkrIbGgwvZy8xcTZral9wMTEQAQ,0.003286,Exact normalized name and coordinate distance <= 100m.
LODGE-01619,Namin Hotel - Bandung,applied_price,,432393.0,4.2,4.2,1352.0,1352.0,"penginapan murah in Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-46-16-156.json,ChoI4oCK3ZvYh7HTARoNL2cvMTFidjN2cHBwchAB,0.011546,Exact normalized name and coordinate distance <= 100m.
LODGE-01621,OYO 94030 Ar Guest House Syariah,applied_price,,165525.0,,,,,"penginapan in Kabupaten Bandung, Jawa Barat",dataset_google-hotels-search-scraper_2026-06-13_10-51-18-035.json,ChkQqJ351rOV6IIKGg0vZy8xMXo1eHN0Y21qEAI,0.004043,Exact normalized name and coordinate distance <= 100m.
