penginapan_id,target_name,target_type,target_bucket,target_latitude,target_longitude,result_name,result_type,result_latitude,result_longitude,distance_km,name_similarity,price_lowest,price_display,overall_rating,reviews,link,property_token,audit_status,source_query,source_page
LODGE-01532,D'Sovia Hotel Bandung,hotel,hotel_bandung,-6.9172,107.598,Grand Sovia Hotel,hotel,-6.9123731,107.6027986,0.754,0.778,315583.0,Rp 315.583,4.2,4360,,ChoI8frDxOi5nN7HARoNL2cvMTFiNzN3dnc0NhAB,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",3
LODGE-01532,D'Sovia Hotel Bandung,hotel,hotel_bandung,-6.9172,107.598,Grand Sovia Hotel,hotel,-6.9123731,107.6027986,0.754,0.778,342160.0,Rp 342.160,4.2,4360,,ChoI8frDxOi5nN7HARoNL2cvMTFiNzN3dnc0NhAB,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",4
LODGE-01521,Bantal Guling Asia Afrika,hotel,hotel_bandung,-6.926,107.6056,Bantal Guling Pasar Baru,hotel,-6.918733400000001,107.5998994,1.024,0.816,101176.0,Rp 101.176,4.0,594,http://bantalgulinggroup.com/,ChkIn-62vJfFnPIwGg0vZy8xMWNtOTV2ejZ3EAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",4
LODGE-01521,Bantal Guling Asia Afrika,hotel,hotel_bandung,-6.926,107.6056,Scandinavian Asia Afrika,vacation rental,-6.923782825469971,107.61817932128906,1.41,0.653,354091.0,Rp 354.091,3.75,8,https://www.booking.com/hotel/id/grand-asia-afrika-residence-bandung12.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-3984322&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-3984322_grp-2_gendate-20260531,ChkQpfj0n67yp_VIGg0vZy8xMXo0cjU5cDN0EAI,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",16
LODGE-01521,Bantal Guling Asia Afrika,hotel,hotel_bandung,-6.926,107.6056,Bantal Guling Pasar Baru,hotel,-6.918733400000001,107.5998994,1.024,0.816,101177.0,Rp 101.177,4.0,594,http://bantalgulinggroup.com/,ChkIn-62vJfFnPIwGg0vZy8xMWNtOTV2ejZ3EAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",18
LODGE-01547,RedDoorz Plus Near BIP,hotel,hotel_bandung,-6.9077,107.613,éL Hotel Bandung,hotel,-6.9161169,107.61061939999999,0.972,0.111,768864.0,Rp 768.864,4.6,20593,https://bandung.el-hotels.com/,ChkIt_OxzobQofPZARoML2cvMWhmOTFienM4EAE,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",2
LODGE-01547,RedDoorz Plus Near BIP,hotel,hotel_bandung,-6.9077,107.613,éL Hotel Bandung,hotel,-6.9161169,107.61061939999999,0.972,0.111,768873.0,Rp 768.873,4.6,20593,https://bandung.el-hotels.com/,ChkIt_OxzobQofPZARoML2cvMWhmOTFienM4EAE,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",3
LODGE-01547,RedDoorz Plus Near BIP,hotel,hotel_bandung,-6.9077,107.613,RedDoorz Plus near Asia Afrika 3,hotel,-6.9236328,107.6098026,1.806,0.682,282885.0,Rp 282.885,4.0,684,,ChkIqZuateDW68RtGg0vZy8xMWY0d3RoejczEAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",7
LODGE-01547,RedDoorz Plus Near BIP,hotel,hotel_bandung,-6.9077,107.613,RedDoorz near Pasar Baru Bandung,hotel,-6.916899,107.603808,1.441,0.722,258760.0,Rp 258.760,4.4,201,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/pasar-baru/otto-iskandar-dinata/reddoorz-near-pasar-baru-bandung?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,ChoIlOat57_ejNHdARoNL2cvMTFmam16em05dhAB,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",14
LODGE-01547,RedDoorz Plus Near BIP,hotel,hotel_bandung,-6.9077,107.613,RedDoorz Plus @ Bagusrangin Street,hotel,-6.8978201,107.617486,1.205,0.653,248441.0,Rp 248.441,4.0,304,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/coblong/coblong/reddoorz-plus-bagusrangin-street?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,ChoI5rCpqYrU8rOPARoNL2cvMTFtX18wOTRtORAB,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",15
LODGE-01547,RedDoorz Plus Near BIP,hotel,hotel_bandung,-6.9077,107.613,RedDoorz near Pasar Baru Bandung,hotel,-6.916899,107.603808,1.441,0.722,258766.0,Rp 258.766,4.4,201,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/pasar-baru/otto-iskandar-dinata/reddoorz-near-pasar-baru-bandung?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,ChoIlOat57_ejNHdARoNL2cvMTFmam16em05dhAB,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",15
LODGE-01539,Hotel RedDoorz Malabar 39,hotel,hotel_bandung,-6.9241,107.6249,RedDoorz Plus near Asia Afrika 3,hotel,-6.9236328,107.6098026,1.667,0.652,282885.0,Rp 282.885,4.0,684,,ChkIqZuateDW68RtGg0vZy8xMWY0d3RoejczEAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",7
LODGE-01539,Hotel RedDoorz Malabar 39,hotel,hotel_bandung,-6.9241,107.6249,RedDoorz near Tegalega Park 2,hotel,-6.934516299999999,107.61286199999999,1.763,0.698,154286.0,Rp 154.286,2.3,50,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/regol/ciateul/pondok-metro-redpartner?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,ChkI45KRqvugp_JRGg0vZy8xMXdtdDJfMnlsEAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",19
LODGE-01539,Hotel RedDoorz Malabar 39,hotel,hotel_bandung,-6.9241,107.6249,RedDoorz near Tegalega Park 2,hotel,-6.934516299999999,107.61286199999999,1.763,0.698,154286.0,Rp 154.286,2.3,50,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/regol/ciateul/pondok-metro-redpartner?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,ChkI45KRqvugp_JRGg0vZy8xMXdtdDJfMnlsEAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",23
LODGE-01539,Hotel RedDoorz Malabar 39,hotel,hotel_bandung,-6.9241,107.6249,RedDoorz @ Buah Batu 3,hotel,-6.9409605999999995,107.62993990000001,1.956,0.718,167392.0,Rp 167.392,3.0,144,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/buah-batu/kliningan/reddoorz-buah-batu-3?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,ChoIj_PJ6sSx1_7bARoNL2cvMTFoN2NidGcxcRAB,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",23
LODGE-01514,Airy Braga Lembong 21 Bandung,hotel,hotel_bandung,-6.9177,107.6125,éL Hotel Bandung,hotel,-6.9161169,107.61061939999999,0.272,0.091,768864.0,Rp 768.864,4.6,20593,https://bandung.el-hotels.com/,ChkIt_OxzobQofPZARoML2cvMWhmOTFienM4EAE,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",2
LODGE-01514,Airy Braga Lembong 21 Bandung,hotel,hotel_bandung,-6.9177,107.6125,éL Hotel Bandung,hotel,-6.9161169,107.61061939999999,0.272,0.091,768873.0,Rp 768.873,4.6,20593,https://bandung.el-hotels.com/,ChkIt_OxzobQofPZARoML2cvMWhmOTFienM4EAE,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",3
LODGE-01586,The Bougenvile Hotel,hotel,hotel_bandung,-6.9295,107.6268,Vi Hotel Bandung,hotel,-6.9304286,107.6264573,0.11,0.333,225413.0,Rp 225.413,4.2,406,https://instagram.com/vi_hotel?igshid=MTZucXo5MjU0bDR3cw==,ChkIx6LGrP3xv6CCARoML2cvMWhjMnNkdjNwEAE,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",7
LODGE-01586,The Bougenvile Hotel,hotel,hotel_bandung,-6.9295,107.6268,Vi Hotel Bandung,hotel,-6.9304286,107.6264573,0.11,0.333,225408.0,Rp 225.408,4.2,406,https://instagram.com/vi_hotel?igshid=MTZucXo5MjU0bDR3cw==,ChkIx6LGrP3xv6CCARoML2cvMWhjMnNkdjNwEAE,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",14
LODGE-01579,RedDoorz @ Talaga Bodas,hotel,hotel_bandung,-6.9282,107.6202,RedDoorz @ Hotel Lodaya Bandung,hotel,-6.930950999999999,107.6230349,0.438,0.722,146830.0,Rp 146.830,3.6,595,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/lengkong/hotel-lodaya-syariah-bandung?utm_source=google&utm_medium=mybusiness&utm_campaign=webclick,ChcIoOnF0qjxmstfGgsvZy8xdG05ZGxsMBAB,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",17
LODGE-01579,RedDoorz @ Talaga Bodas,hotel,hotel_bandung,-6.9282,107.6202,RedDoorz near Tegalega Park 2,hotel,-6.934516299999999,107.61286199999999,1.072,0.711,154286.0,Rp 154.286,2.3,50,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/regol/ciateul/pondok-metro-redpartner?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,ChkI45KRqvugp_JRGg0vZy8xMXdtdDJfMnlsEAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",19
LODGE-01579,RedDoorz @ Talaga Bodas,hotel,hotel_bandung,-6.9282,107.6202,RedDoorz near Tegalega Park 2,hotel,-6.934516299999999,107.61286199999999,1.072,0.711,154286.0,Rp 154.286,2.3,50,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/regol/ciateul/pondok-metro-redpartner?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,ChkI45KRqvugp_JRGg0vZy8xMXdtdDJfMnlsEAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",23
LODGE-01564,Airy Veteran 30 Bandung,hotel,hotel_bandung,-6.9192,107.615,Vio Hotel Veteran,hotel,-6.9192735,107.6149464,0.01,0.692,275307.0,Rp 275.307,4.3,1684,https://viohotel.com/vio-veteran,ChkIiaaC7sHj4vY9Gg0vZy8xMWJid19fZmo5EAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",11
LODGE-01563,Airy Supratman 23 Bandung,hotel,hotel_bandung,-6.9065,107.6294,Hotel Supratman,hotel,-6.9015577,107.6268575,0.617,0.692,182000.0,Rp 182.000,4.3,448,,ChgIv_Da2L7IuOPQARoLL2cvMXdqd3h5ZGQQAQ,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",12
LODGE-01563,Airy Supratman 23 Bandung,hotel,hotel_bandung,-6.9065,107.6294,Hotel Supratman,hotel,-6.9015577,107.6268575,0.617,0.692,300996.0,Rp 300.996,4.3,448,,ChgIv_Da2L7IuOPQARoLL2cvMXdqd3h5ZGQQAQ,safe_price_candidate,"hotel in Kota Bandung, Jawa Barat",18
LODGE-01580,RedDoorz near Asia Afrika 2,hotel,hotel_bandung,-6.9316,107.6193,Zodiak Asia Afrika Hotel Bandung,hotel,-6.9211306,107.60489969999999,1.97,0.65,336487.0,Rp 336.487,4.1,2539,https://booking.kagumhotels.com/offers?hotel=ZKBK,ChkI_In4nLC4kNt-Gg0vZy8xMWI1ejJtOXZtEAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",1
LODGE-01580,RedDoorz near Asia Afrika 2,hotel,hotel_bandung,-6.9316,107.6193,Zodiak Asia Afrika Hotel Bandung,hotel,-6.9211306,107.60489969999999,1.97,0.65,336487.0,Rp 336.487,4.1,2539,https://booking.kagumhotels.com/offers?hotel=ZKBK,ChkI_In4nLC4kNt-Gg0vZy8xMWI1ejJtOXZtEAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",6
LODGE-01580,RedDoorz near Asia Afrika 2,hotel,hotel_bandung,-6.9316,107.6193,RedDoorz Plus near Asia Afrika 3,hotel,-6.9236328,107.6098026,1.373,0.857,282885.0,Rp 282.885,4.0,684,,ChkIqZuateDW68RtGg0vZy8xMWY0d3RoejczEAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",7
LODGE-01580,RedDoorz near Asia Afrika 2,hotel,hotel_bandung,-6.9316,107.6193,RedDoorz near Alun Alun Bandung 2,hotel,-6.9260027,107.6055794,1.637,0.667,168488.0,Rp 168.488,3.5,380,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/alun-alun/reddoorz-near-alun-alun-bandung-2?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,ChkI3I-h4KqXs4wpGg0vZy8xMWZwY3d5X18zEAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",14
LODGE-01580,RedDoorz near Asia Afrika 2,hotel,hotel_bandung,-6.9316,107.6193,RedDoorz near Alun Alun Bandung 2,hotel,-6.9260027,107.6055794,1.637,0.667,168494.0,Rp 168.494,3.5,380,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/alun-alun/reddoorz-near-alun-alun-bandung-2?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,ChkI3I-h4KqXs4wpGg0vZy8xMWZwY3d5X18zEAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",16
LODGE-01580,RedDoorz near Asia Afrika 2,hotel,hotel_bandung,-6.9316,107.6193,RedDoorz near Tegalega Park 2,hotel,-6.934516299999999,107.61286199999999,0.781,0.739,154286.0,Rp 154.286,2.3,50,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/regol/ciateul/pondok-metro-redpartner?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,ChkI45KRqvugp_JRGg0vZy8xMXdtdDJfMnlsEAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",19
LODGE-01580,RedDoorz near Asia Afrika 2,hotel,hotel_bandung,-6.9316,107.6193,RedDoorz near Tegalega Park 2,hotel,-6.934516299999999,107.61286199999999,0.781,0.739,154286.0,Rp 154.286,2.3,50,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/regol/ciateul/pondok-metro-redpartner?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,ChkI45KRqvugp_JRGg0vZy8xMXdtdDJfMnlsEAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",23
LODGE-00264,KARIZMA RESIDENCE,hotel,cimahi,-6.8896251,107.5791915,V Hotel & Residence,hotel,-6.8818934,107.5847237,1.055,0.714,413091.0,Rp 413.091,4.6,7774,http://www.vhotelresidence.com/,ChgIo5_Hg6au1sZCGgwvZy8xaGhoaDlibTIQAQ,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",6
LODGE-01636,RedDoorz near Tegalega Park,hotel,hotel_bandung,-6.9395,107.6049,RedDoorz near Tegalega Park 2,hotel,-6.934516299999999,107.61286199999999,1.039,0.957,154286.0,Rp 154.286,2.3,50,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/regol/ciateul/pondok-metro-redpartner?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,ChkI45KRqvugp_JRGg0vZy8xMXdtdDJfMnlsEAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",19
LODGE-01636,RedDoorz near Tegalega Park,hotel,hotel_bandung,-6.9395,107.6049,RedDoorz near Tegalega Park 2,hotel,-6.934516299999999,107.61286199999999,1.039,0.957,154286.0,Rp 154.286,2.3,50,https://www.reddoorz.com/id-id/hotel/indonesia/bandung/regol/ciateul/pondok-metro-redpartner?utm_campaign=webclick&utm_medium=mybusiness&utm_source=google,ChkI45KRqvugp_JRGg0vZy8xMXdtdDJfMnlsEAE,needs_review_price_candidate,"hotel in Kota Bandung, Jawa Barat",23
